 	Area	Mean	IntDen	RawIntDen
1	8.515	660.707	5626.038	335639.000
2	12.790	660.396	8446.156	503882.000
3	9.504	669.584	6363.825	379654.000
4	9.102	627.392	5710.435	340674.000
5	5.582	642.706	3587.456	214021.000
6	10.175	666.114	6777.465	404331.000
7	5.548	633.106	3512.647	209558.000
8	31.060	702.142	21808.740	1301069.000
9	7.929	651.471	5165.196	308146.000
10	28.311	711.342	20139.026	1201457.000
11	11.348	649.867	7374.684	439960.000
12	12.672	675.423	8559.099	510620.000
13	9.672	719.541	6959.234	415175.000
14	45.191	689.080	31140.089	1857760.000
15	14.516	694.186	10076.830	601165.000
16	15.572	689.579	10738.164	640619.000
17	9.269	654.072	6062.910	361702.000
18	12.136	686.949	8336.682	497351.000
19	18.254	643.553	11747.415	700829.000
20	12.169	638.364	7768.461	463452.000
21	500.703	689.670	345319.556	20601125.000
22	22.864	669.256	15301.598	912865.000
23	22.176	708.919	15721.239	937900.000
24	13.678	677.717	9269.765	553017.000
25	14.097	726.855	10246.463	611285.000
26	16.695	618.919	10332.922	616443.000
27	13.443	676.626	9096.059	542654.000
28	34.597	696.526	24097.798	1437630.000
29	12.840	702.456	9019.405	538081.000
30	45.895	661.909	30378.181	1812306.000
31	9.152	662.454	6062.877	361700.000
32	81.816	673.338	55089.910	3286562.000
33	7.090	632.151	4482.204	267400.000
34	19.126	686.070	13121.527	782806.000
35	6.906	681.757	4708.225	280884.000
36	85.705	662.677	56794.740	3388269.000
37	31.362	680.446	21340.153	1273114.000
38	5.666	631.959	3580.433	213602.000
39	11.985	653.994	7838.091	467606.000
40	11.465	681.162	7809.746	465915.000
41	16.645	667.362	11108.122	662690.000
42	9.253	656.915	6078.248	362617.000
43	6.973	657.421	4584.236	273487.000
44	8.783	702.632	6171.479	368179.000
45	5.649	641.944	3626.244	216335.000
46	10.342	663.809	6865.282	409570.000
47	7.711	659.689	5086.598	303457.000
48	12.086	674.652	8153.522	486424.000
49	9.471	675.706	6399.361	381774.000
50	7.526	661.220	4976.487	296888.000
51	5.464	648.236	3542.266	211325.000
52	5.850	639.097	3738.718	223045.000
53	6.655	652.562	4342.525	259067.000
54	6.872	662.159	4550.678	271485.000
