 	Area	Mean	IntDen	RawIntDen
1	17.097	1321.278	22590.443	1347704
2	11.382	1347.779	15339.766	915142
3	11.449	1303.428	14922.371	890241
4	9.705	1293.800	12556.709	749110
5	9.739	1287.757	12541.238	748187
6	10.862	1241.630	13486.440	804576
7	20.902	1360.711	28442.167	1696807
8	6.252	1300.405	8130.507	485051
9	7.308	1280.271	9356.610	558198
10	255.757	1337.860	342167.379	20413072
11	69.261	1297.845	89890.404	5362695
12	7.811	1343.416	10493.655	626032
13	15.019	1333.965	20034.699	1195233
14	36.122	1412.692	51029.928	3044351
15	8.063	1293.407	10428.232	622129
16	7.107	1248.295	8871.831	529277
17	12.052	1318.446	15889.917	947963
18	8.046	1318.110	10605.308	632693
19	19.612	1281.613	25134.656	1499487
20	17.248	1324.851	22851.397	1363272
21	92.963	1331.184	123750.842	7382746
22	7.157	1288.749	9224.155	550296
23	8.750	1275.056	11156.548	665579
24	46.616	1312.875	61200.459	3651106
25	18.153	1298.953	23580.451	1406766
26	6.956	1317.154	9162.521	546619
27	5.431	1293.855	7026.852	419209
28	15.237	1299.679	19802.962	1181408
29	22.562	1301.568	29365.830	1751911
30	7.979	1283.271	10238.954	610837
