 	Area	Mean	IntDen	RawIntDen
1	17.097	620.625	10611.074	633037.000
2	11.382	638.891	7271.547	433807.000
3	11.449	646.681	7403.565	441683.000
4	9.705	618.770	6005.349	358268.000
5	9.739	624.434	6081.248	362796.000
6	10.862	615.045	6680.546	398549.000
7	20.902	644.907	13480.120	804199.000
8	6.252	604.458	3779.249	225463.000
9	7.308	615.894	4501.145	268530.000
10	255.757	627.388	160459.039	9572689.000
11	69.261	602.838	41753.358	2490928.000
12	7.811	638.951	4990.953	297751.000
13	15.019	603.258	9060.271	540519.000
14	36.122	650.655	23503.261	1402161.000
15	8.063	608.405	4905.332	292643.000
16	7.107	587.767	4177.351	249213.000
17	12.052	589.545	7105.199	423883.000
18	8.046	610.542	4912.321	293060.000
19	19.612	595.619	11681.120	696874.000
20	17.248	637.760	11000.258	656255.000
21	92.963	631.769	58731.106	3503789.000
22	7.157	609.030	4359.103	260056.000
23	8.750	608.019	5320.078	317386.000
24	46.616	624.586	29115.453	1736974.000
25	18.153	595.515	10810.644	644943.000
26	6.956	627.345	4363.997	260348.000
27	5.431	592.775	3219.326	192059.000
28	15.237	608.059	9264.887	552726.000
29	22.562	609.047	13741.241	819777.000
30	7.979	598.559	4775.777	284914.000
