 	Area	Mean	IntDen	RawIntDen
1	15.287	1260.283	19266.069	1149378.000
2	13.209	1272.437	16807.092	1002680.000
3	8.817	1281.498	11298.842	674068.000
4	9.152	1369.711	12535.790	747862.000
5	503.133	1336.743	672560.106	40123690.000
6	8.381	1321.772	11077.883	660886.000
7	11.382	1258.505	14323.693	854525.000
8	6.034	1275.578	7697.322	459208.000
9	10.393	1347.006	13998.826	835144.000
10	6.319	1248.796	7891.563	470796.000
11	7.627	1342.325	10237.629	610758.000
12	10.728	1314.767	14104.545	841451.000
13	109.390	1333.714	145894.842	8703816.000
14	42.509	1356.306	57655.008	3439591.000
15	15.807	1380.135	21815.411	1301467.000
16	8.264	1309.858	10824.339	645760.000
17	6.671	1292.533	8622.929	514428.000
18	14.818	1356.687	20103.055	1199311.000
19	7.962	1399.764	11144.966	664888.000
20	13.510	1308.429	17677.284	1054594.000
21	12.907	1370.021	17682.681	1054916.000
22	10.024	1268.722	12717.391	758696.000
23	9.404	1366.652	12851.422	766692.000
24	25.294	1341.718	33937.561	2024652.000
25	10.962	1414.193	15503.029	924882.000
26	13.913	1492.952	20770.843	1239150.000
27	9.588	1380.049	13231.856	789388.000
28	14.131	1315.311	18586.011	1108807.000
29	6.101	1253.327	7647.086	456211.000
30	9.236	1333.550	12316.608	734786.000
31	11.968	1260.377	15084.427	899909.000
32	5.062	1322.460	6694.526	399383.000
33	32.904	1258.956	41424.853	2471330.000
34	7.560	1390.253	10509.948	627004.000
35	8.281	1219.285	10096.307	602327.000
36	11.951	1454.139	17379.034	1036801.000
37	11.046	1410.067	15575.978	929234.000
38	7.359	1380.843	10161.060	606190.000
39	9.705	1253.473	12165.329	725761.000
40	7.912	1330.691	10528.084	628086.000
41	14.097	1315.610	18546.134	1106428.000
42	7.644	1315.827	10057.587	600017.000
43	9.990	1306.237	13049.634	778517.000
44	17.064	1314.339	22427.733	1337997.000
45	9.286	1325.803	12311.730	734495.000
46	7.727	1261.321	9746.682	581469.000
47	5.733	1248.175	7155.368	426876.000
48	9.236	1260.690	11643.674	694640.000
49	6.018	1271.404	7650.824	456434.000
50	8.297	1367.154	11343.648	676741.000
