 	Area	Mean	IntDen	RawIntDen
1	27.926	719.486	20092.210	1198664
2	9.789	767.197	7510.173	448043
3	12.488	808.415	10095.335	602269
4	226.842	787.612	178663.828	10658753
5	21.372	718.594	15357.617	916207
6	14.818	788.252	11680.131	696815
7	9.990	710.757	7100.640	423611
8	32.871	689.546	22665.789	1352199
9	10.225	819.692	8381.286	500012
10	10.812	769.144	8315.679	496098
11	5.129	701.085	3596.022	214532
12	8.180	987.697	8079.299	481996
13	13.175	698.551	9203.454	549061
14	18.841	724.090	13642.344	813877
15	12.136	781.412	9483.063	565742
16	8.817	711.795	6275.823	374404
17	13.711	717.801	9842.092	587161
18	233.966	829.442	194061.574	11577354
19	18.405	701.004	12901.876	769702
20	14.432	640.276	9240.615	551278
21	27.339	718.485	19642.732	1171849
22	27.071	760.985	20600.539	1228990
23	9.789	709.288	6943.293	414224
24	17.936	790.200	14172.649	845514
25	9.085	763.928	6940.360	414049
26	27.222	772.485	21028.410	1254516
27	12.320	863.844	10642.721	634925
28	18.438	806.777	14875.671	887455
29	11.935	704.770	8411.190	501796
30	14.767	703.854	10394.138	620095
31	7.996	723.463	5784.491	345092
32	9.052	700.831	6343.626	378449
33	8.666	660.739	5725.991	341602
34	11.985	725.503	8695.124	518735
35	6.085	691.650	4208.461	251069
36	7.124	688.407	4904.158	292573
37	15.404	665.641	10253.822	611724
38	31.798	734.757	23363.682	1393834
39	17.332	726.257	12587.551	750950
40	8.264	728.828	6022.849	359312
41	12.303	703.104	8650.587	516078
42	8.515	729.622	6212.865	370648
43	7.895	614.614	4852.363	289483
44	9.655	703.517	6792.467	405226
45	5.532	675.852	3738.483	223031
46	8.314	690.889	5744.077	342681
