 	Area	Mean	IntDen	RawIntDen
1	9.152	248.337	2272.816	135592
2	13.259	211.201	2800.288	167060
3	39.927	236.331	9436.096	562940
4	10.476	235.664	2468.900	147290
5	17.969	219.739	3948.497	235560
6	14.281	254.552	3635.346	216878
7	10.275	236.489	2429.978	144968
8	14.114	250.033	3528.906	210528
9	638.119	244.438	155980.824	9305527
10	16.209	232.584	3769.963	224909
11	19.679	250.501	4929.553	294088
12	37.044	248.480	9204.795	549141
13	29.133	246.312	7175.734	428091
14	11.901	261.138	3107.840	185408
15	135.455	237.484	32168.464	1919111
16	16.058	231.941	3724.537	222199
17	20.735	218.783	4536.430	270635
18	22.143	219.740	4865.656	290276
19	20.617	253.897	5234.708	312293
20	17.533	231.258	4054.702	241896
21	36.659	231.369	8481.708	506003
22	53.237	219.509	11685.931	697161
23	15.002	206.838	3103.013	185120
24	20.500	237.261	4863.879	290170
25	52.885	235.592	12459.220	743294
26	10.543	228.014	2404.047	143421
27	20.634	228.262	4710.002	280990
28	13.527	212.893	2879.825	171805
29	10.393	214.619	2230.441	133064
30	6.571	209.824	1378.705	82251
31	6.856	205.680	1410.084	84123
