 	Area	Mean	IntDen	RawIntDen
1	16.611	100.308	1666.243	99405.000
2	77.827	102.562	7982.095	476197.000
3	8.783	85.880	754.314	45001.000
4	8.716	93.512	815.077	48626.000
5	13.745	89.574	1231.198	73451.000
6	26.954	87.981	2371.394	141473.000
7	25.579	100.210	2563.271	152920.000
8	6.872	100.468	690.467	41192.000
9	12.086	106.341	1285.189	76672.000
10	13.443	105.160	1413.688	84338.000
11	13.745	86.193	1184.717	70678.000
12	15.958	91.132	1454.252	86758.000
13	15.572	104.647	1629.568	97217.000
14	22.646	105.495	2389.011	142524.000
15	177.763	106.763	18978.447	1132219.000
16	69.529	101.432	7052.515	420740.000
17	17.868	99.137	1771.426	105680.000
18	12.002	115.035	1380.616	82365.000
19	17.852	105.898	1890.454	112781.000
20	6.923	98.431	681.416	40652.000
21	153.391	106.722	16370.086	976609.000
22	6.671	100.585	671.040	40033.000
23	21.506	97.916	2105.764	125626.000
24	11.398	112.835	1286.128	76728.000
25	14.851	87.612	1301.147	77624.000
26	8.532	102.713	876.343	52281.000
27	11.935	102.590	1224.376	73044.000
28	40.447	103.599	4190.274	249984.000
29	7.174	102.614	736.178	43919.000
30	8.565	106.078	908.610	54206.000
31	7.744	88.846	688.037	41047.000
32	6.319	87.427	552.481	32960.000
33	8.096	86.611	701.212	41833.000
34	5.381	88.879	478.225	28530.000
35	10.460	92.615	968.719	57792.000
36	7.996	91.881	734.636	43827.000
37	12.940	103.715	1342.113	80068.000
38	5.280	114.467	604.394	36057.000
39	9.102	112.976	1028.292	61346.000
40	14.600	91.445	1335.090	79649.000
41	9.370	95.299	892.954	53272.000
42	12.052	105.730	1274.260	76020.000
43	10.694	97.144	1038.886	61978.000
44	7.342	100.582	738.457	44055.000
45	7.442	99.189	738.206	44040.000
