"time"	"unit"	"mean"	"sd"	"sem"
"1"	0	"D"	7.73266433796664	0.12671821032728	0.0633591051636402
"2"	10	"D"	7.74379368286832	0.0774851578454525	0.0387425789227263
"3"	20	"D"	7.70221001619637	0.0839427264843696	0.0419713632421848
"4"	30	"D"	7.705185397177	0.0962383767111071	0.0481191883555535
"5"	40	"D"	7.7151374504941	0.0938087229808856	0.0469043614904428
"6"	50	"D"	7.71747861878031	0.0977038691434471	0.0488519345717235
"7"	60	"D"	7.34696372397124	0.093222730676786	0.046611365338393
"8"	70	"D"	7.41066053317677	0.0779869986615324	0.0389934993307662
"9"	80	"D"	7.36694744777549	0.0914495146594468	0.0457247573297234
"10"	90	"D"	7.34790001941635	0.0655193052661131	0.0327596526330566
"11"	100	"D"	7.29335289235396	0.0436055423477457	0.0218027711738729
"12"	110	"D"	7.25823991662835	0.0465897637739605	0.0232948818869802
"13"	120	"D"	7.23596357256257	0.0540665340011307	0.0270332670005653
"14"	130	"D"	7.42742838911579	0.0622139152880702	0.0311069576440351
"15"	140	"D"	7.45144986039199	0.0630432208813355	0.0315216104406678
"16"	150	"D"	7.43626384974692	0.0599747309134437	0.0299873654567219
"17"	160	"D"	7.44878635561732	0.0628029031149068	0.0314014515574534
"18"	170	"D"	7.44608831608774	0.0872452984887595	0.0436226492443797
"19"	180	"D"	7.4550531745211	0.0648991520159548	0.0324495760079774
"20"	190	"D"	7.47047420936399	0.0685348957030309	0.0342674478515154
"21"	200	"D"	7.4744150502941	0.0665231289337334	0.0332615644668667
