"time"	"unit"	"mean"	"sd"	"sem"
"1"	0	"sorb4mM"	7.44289203622842	0.0518219976633709	0.0259109988316854
"2"	10	"sorb4mM"	7.39476000183884	0.148918454539252	0.0744592272696258
"3"	20	"sorb4mM"	7.45118785856339	0.0748942166149194	0.0374471083074597
"4"	30	"sorb4mM"	7.44932655469145	0.0302600260186866	0.0151300130093433
"5"	40	"sorb4mM"	7.46903343838174	0.0364534995044505	0.0182267497522252
"6"	50	"sorb4mM"	7.46268879725483	0.0535768408933255	0.0267884204466627
"7"	60	"sorb4mM"	7.47829911520939	0.0737327639990591	0.0368663819995296
"8"	70	"sorb4mM"	6.12026358308284	0.0331999970897855	0.0165999985448927
"9"	80	"sorb4mM"	6.08502732582502	0.0393818892932473	0.0196909446466237
"10"	90	"sorb4mM"	6.11098345583039	0.0546793127778624	0.0273396563889312
"11"	100	"sorb4mM"	6.14835275593123	0.0380333290636502	0.0190166645318251
"12"	110	"sorb4mM"	6.15533009416295	0.0363745037478243	0.0181872518739122
"13"	120	"sorb4mM"	6.72542307212067	0.503414203329919	0.25170710166496
"14"	130	"sorb4mM"	7.5175924361639	0.0622699756789904	0.0311349878394952
"15"	140	"sorb4mM"	7.48577452456425	0.0214706049349925	0.0107353024674962
"16"	150	"sorb4mM"	7.51755001206811	0.0404863793523041	0.0202431896761521
"17"	160	"sorb4mM"	7.48958324839325	0.149539812294263	0.0747699061471315
"18"	170	"sorb4mM"	7.54616192431553	0.0457980989478574	0.0228990494739287
"19"	180	"sorb4mM"	7.54483049715756	0.0315489262556732	0.0157744631278366
"20"	190	"sorb4mM"	7.52955635955784	0.0414810044241503	0.0207405022120751
"21"	200	"sorb4mM"	7.52367457401051	0.0719451869706911	0.0359725934853456
