"time" "mean" "sd" "sem" "source"
"1" 0 7.47404323149985 0.200321652985319 0.10016082649266 "df_74"
"2" 10 7.46322886292907 0.146347441457493 0.0731737207287463 "df_74"
"3" 20 7.43886568696907 0.140073400523584 0.0700367002617921 "df_74"
"4" 30 7.44156103190107 0.142391348523348 0.0711956742616738 "df_74"
"5" 40 7.42243019875847 0.131638154204549 0.0658190771022747 "df_74"
"6" 50 7.41537303141395 0.124570630486172 0.062285315243086 "df_74"
"7" 60 7.41153391165785 0.138007416565098 0.0690037082825488 "df_74"
"8" 70 7.03265686920005 0.0651454234564823 0.0325727117282412 "df_74"
"9" 80 7.08479392487939 0.057081286442725 0.0285406432213625 "df_74"
"10" 90 7.13810044454808 0.0580981076347348 0.0290490538173674 "df_74"
"11" 100 7.17346227858851 0.0589426534776488 0.0294713267388244 "df_74"
"12" 110 7.19397099045052 0.0545056161448249 0.0272528080724125 "df_74"
"13" 120 7.19700101324364 0.0545670184130976 0.0272835092065488 "df_74"
"14" 130 7.19392869162122 0.0543118324955017 0.0271559162477508 "df_74"
"15" 140 7.19533813229189 0.0527913343832537 0.0263956671916268 "df_74"
"16" 150 7.21341810374345 0.052054134609798 0.026027067304899 "df_74"
"17" 160 7.21471749048533 0.0506599188038048 0.0253299594019024 "df_74"
"18" 170 7.21141350859767 0.0501168522618175 0.0250584261309087 "df_74"
"19" 180 7.22639345484486 0.04648536372865 0.023242681864325 "df_74"
"20" 190 7.22872967192229 0.0453311035378494 0.0226655517689247 "df_74"
"21" 200 7.22799498253692 0.046255429409497 0.0231277147047485 "df_74"
"22" 210 7.2059470699497 0.0486564152840788 0.0243282076420394 "df_74"
"23" 220 7.20229959879513 0.0408177185982236 0.0204088592991118 "df_74"
"24" 230 7.19948211701866 0.0399623647453414 0.0199811823726707 "df_74"
"25" 240 7.19142672813759 0.0460959512424468 0.0230479756212234 "df_74"
"26" 250 7.17889854154672 0.0478662951990223 0.0239331475995111 "df_74"
"27" 260 7.17217597290888 0.0477377552681725 0.0238688776340863 "df_74"
"28" 270 7.16654255088093 0.0452968092483674 0.0226484046241837 "df_74"
"29" 280 7.14645069845859 0.0408572730186232 0.0204286365093116 "df_74"
"30" 290 7.14013518431454 0.0402971422887105 0.0201485711443553 "df_74"
"31" 300 7.13414312893077 0.0429124019917125 0.0214562009958563 "df_74"
"32" 310 7.11968315369348 0.0398326355657178 0.0199163177828589 "df_74"
"33" 320 7.10903203603963 0.044984588874976 0.022492294437488 "df_74"
"34" 330 7.10508702760222 0.0425993243371611 0.0212996621685805 "df_74"
"35" 340 7.10728105917757 0.0459414212080203 0.0229707106040102 "df_74"
"36" 350 7.10300492393362 0.046484226514822 0.023242113257411 "df_74"
