"time"	"unit"	"mean"	"sd"	"sem"
"1"	0	"B"	7.73830883037663	0.199985652956458	0.0999928264782291
"2"	10	"B"	7.70258123604452	0.24863612975616	0.12431806487808
"3"	20	"B"	7.70153276360887	0.202627412050913	0.101313706025456
"4"	30	"B"	7.66659047724142	0.198642948302889	0.0993214741514444
"5"	40	"B"	7.65810116605046	0.233126274549759	0.116563137274879
"6"	50	"B"	7.6500511824487	0.223054264937939	0.11152713246897
"7"	60	"B"	7.6806465032293	0.205096519165435	0.102548259582718
"8"	70	"B"	6.36121542236628	0.0528232573203534	0.0264116286601767
"9"	80	"B"	6.3362669332207	0.0593366833354363	0.0296683416677182
"10"	90	"B"	6.31450136243306	0.048068182854933	0.0240340914274665
"11"	100	"B"	6.28420438652904	0.0459964909996152	0.0229982454998076
"12"	110	"B"	6.26456938950355	0.0335132437449758	0.0167566218724879
"13"	120	"B"	6.69541063941081	0.126628858955526	0.0633144294777629
"14"	130	"B"	7.42873643046347	0.147202241892126	0.0736011209460632
"15"	140	"B"	7.41304579395854	0.129856323940249	0.0649281619701246
"16"	150	"B"	7.381863204317	0.122403246587948	0.0612016232939738
"17"	160	"B"	7.33135303875272	0.116694131290897	0.0583470656454484
"18"	170	"B"	7.322438088636	0.12566838547103	0.0628341927355148
"19"	180	"B"	7.32254753035757	0.119518476252369	0.0597592381261844
"20"	190	"B"	7.32776243089333	0.0963066074530239	0.048153303726512
"21"	200	"B"	7.35100112695502	0.121350129853701	0.0606750649268507
