"time"	"unit"	"mean"	"sd"	"sem"
"1"	0	"C"	7.78947246886732	0.12001145385876	0.0600057269293801
"2"	10	"C"	7.79291886792468	0.109901926199851	0.0549509630999255
"3"	20	"C"	7.76830391957091	0.0848725956275553	0.0424362978137777
"4"	30	"C"	7.75085471597302	0.0740583930983787	0.0370291965491894
"5"	40	"C"	7.76717622477225	0.0667067951567469	0.0333533975783735
"6"	50	"C"	7.78571225850382	0.0636641795605618	0.0318320897802809
"7"	60	"C"	6.97573876968319	0.0464847483270656	0.0232423741635328
"8"	70	"C"	7.26618212351055	0.0367691627295491	0.0183845813647745
"9"	80	"C"	7.2329049718731	0.0462537184630662	0.0231268592315331
"10"	90	"C"	7.22793570966169	0.0508561345963906	0.0254280672981953
"11"	100	"C"	7.19172284048215	0.0507916872869204	0.0253958436434602
"12"	110	"C"	7.17847469890509	0.0388985694550452	0.0194492847275226
"13"	120	"C"	7.33123639193688	0.0410233561092997	0.0205116780546499
"14"	130	"C"	7.50059913177514	0.050758717384979	0.0253793586924895
"15"	140	"C"	7.53282881058475	0.0497530642964408	0.0248765321482204
"16"	150	"C"	7.50642401243764	0.0615084813068111	0.0307542406534056
"17"	160	"C"	7.49426144869981	0.0436935926578462	0.0218467963289231
"18"	170	"C"	7.49751292423665	0.0412223631723521	0.020611181586176
"19"	180	"C"	7.50873039599307	0.0433611160930886	0.0216805580465443
"20"	190	"C"	7.51574888226353	0.0439139110511676	0.0219569555255838
"21"	200	"C"	7.52948723932476	0.0580073884316552	0.0290036942158276
