"time"	"unit"	"mean"	"sd"	"sem"
"31"	0	"A"	7.69412290272691	0.10959741698627	0.054798708493135
"32"	10	"A"	7.69314601442103	0.108794846805889	0.0543974234029444
"33"	20	"A"	7.67975292462224	0.0982937597673127	0.0491468798836564
"34"	30	"A"	7.65658139379379	0.143004205686347	0.0715021028431734
"35"	40	"A"	7.64570448779846	0.128025127338409	0.0640125636692045
"36"	50	"A"	7.6602830327966	0.108771845171763	0.0543859225858817
"37"	60	"A"	7.31907678678023	0.34303033571359	0.171515167856795
"38"	70	"A"	5.96300798703411	0.113663499051	0.0568317495255001
"39"	80	"A"	5.89966812759309	0.126453369244645	0.0632266846223227
"40"	90	"A"	5.90074880401522	0.117093031141498	0.0585465155707491
"41"	100	"A"	5.9095657202699	0.12464456709665	0.062322283548325
"42"	110	"A"	5.91039323014549	0.123791093355472	0.0618955466777361
"43"	120	"A"	6.12571690046672	0.33075974457829	0.165379872289145
"44"	130	"A"	7.52267885937147	0.140857665183155	0.0704288325915774
"45"	140	"A"	7.54114771057205	0.108480233582978	0.0542401167914889
"46"	150	"A"	7.55857779255295	0.114174441836713	0.0570872209183563
"47"	160	"A"	7.59603800722235	0.112861467265219	0.0564307336326097
"48"	170	"A"	7.62937719609256	0.11141760109364	0.05570880054682
"49"	180	"A"	7.64835068805183	0.0961244836786091	0.0480622418393045
"50"	190	"A"	7.65041441828297	0.104795258266699	0.0523976291333497
"51"	200	"A"	7.65326525124153	0.100147794818361	0.0500738974091807
