 	Area1	Mean1	Min1	Max1	IntDen1	RawIntDen1
1	4348.822	5164.915	1454	20031	22461298	1353951488
2	4348.822	4665.669	1565	23178	20290166	1223077120
3	4348.822	4752.510	1579	15964	20667820	1245841920
4	4348.822	4227.297	1401	18657	18383762	1108160512
5	4348.822	4893.451	1386	18591	21280750	1282788864
6	4348.822	4557.257	1514	17023	19818704	1194657664
7	4348.822	4172.036	1421	16398	18143444	1093674240
8	4348.822	4194.922	1497	19097	18242972	1099673728
9	4348.822	4181.651	1436	17694	18185260	1096194816
10	4348.822	4576.833	1520	17188	19903836	1199789440
