 	Area1	Mean1	Min1	Max1	IntDen1	RawIntDen1
1	4348.822	3290.293	1362	10451	14308899	862530560
2	4348.822	3052.431	1399	11889	13274479	800176448
3	4348.822	3092.333	1425	8885	13448006	810636544
4	4348.822	2821.733	1321	10050	12271215	739700352
5	4348.822	3157.147	1372	9688	13729874	827627264
6	4348.822	2988.580	1387	9165	12996802	783438272
7	4348.822	2799.153	1348	8939	12173019	733781120
8	4348.822	2807.772	1364	10069	12210501	736040512
9	4348.822	2792.946	1353	9415	12146027	732154112
10	4348.822	2995.456	1399	9335	13026706	785240832
