 	Area1	Mean1	Min1	Max1	IntDen1	RawIntDen1
1	4348.822	3236.851	1551	6268	14076488	848520960
2	4348.822	3358.399	1669	6235	14605082	880384256
3	4348.822	2999.705	1621	5663	13045186	786354752
4	4348.822	3123.818	1653	6480	13584928	818890048
5	4348.822	2939.192	1549	5516	12782025	770491648
6	4348.822	3587.859	1941	7823	15602962	940535744
7	4348.822	3414.136	1836	6389	14847473	894995392
8	4348.822	3062.272	1605	7148	13317278	802756352
9	4348.822	3418.858	1660	8345	14868005	896233024
10	4348.822	3296.555	1656	7054	14336131	864172032
