 	Area1	Mean1	Min1	Max1	IntDen1	RawIntDen1
1	4348.822	12489.878	4008	26719	54316260	3274146560
2	4348.822	11687.014	3866	28596	50824748	3063680512
3	4348.822	11764.685	4453	27137	51162520	3084041472
4	4348.822	12081.706	2902	30630	52541192	3167146752
5	4348.822	10163.215	2606	23554	44198016	2664225792
6	4348.822	12227.560	4266	27011	53175488	3205381376
7	4348.822	11356.708	3415	25703	49388304	2977092864
8	4348.822	11057.211	3787	26559	48085844	2898581504
9	4348.822	11488.469	3864	28498	49961312	3011633152
10	4348.822	10994.624	2801	25169	47813664	2882174720
