 	Area1	Mean1	Min1	Max1	IntDen1	RawIntDen1
1	4348.822	3940.734	1518	15668	17137550	1033039680
2	4348.822	3774.798	1421	16204	16415927	989540736
3	4348.822	4351.355	1471	16551	18923270	1140681600
4	4348.822	4408.925	1505	15570	19173632	1155773184
5	4348.822	4524.921	1666	15157	19678078	1186180864
6	4348.822	3941.527	1531	13256	17141002	1033247744
7	4348.822	4370.180	1620	12937	19005136	1145616512
8	4348.822	4232.670	1539	21514	18407130	1109569024
9	4348.822	3901.603	1586	13874	16967376	1022781696
10	4348.822	3830.737	1435	12525	16659192	1004204608
