 	Area1	Mean1	Min1	Max1	IntDen1	RawIntDen1
1	4348.822	3001.256	1436	10377	13051930	786761344
2	4348.822	2904.414	1377	10731	12630781	761374720
3	4348.822	3251.344	1379	11039	14139519	852320448
4	4348.822	3293.136	1442	10102	14321265	863275968
5	4348.822	3373.534	1543	10218	14670900	884351680
6	4348.822	3023.523	1453	8825	13148767	792598528
7	4348.822	3267.403	1511	8692	14209355	856530112
8	4348.822	3181.229	1437	13751	13834600	833940096
9	4348.822	2973.412	1477	9344	12930840	779462080
10	4348.822	2953.463	1410	8678	12844086	774232576
