 	Area1	Mean1	Min1	Max1	IntDen1	RawIntDen1
1	4348.822	11250.521	2764	26175	48926516	2949256448
2	4348.822	11917.556	3472	26915	51827332	3124115712
3	4348.822	9921.751	3172	22967	43147932	2600927488
4	4348.822	10642.883	3301	27708	46284008	2789967872
5	4348.822	9571.567	2755	23290	41625044	2509128960
6	4348.822	13124.201	4977	35029	57074820	3440430592
7	4348.822	12108.298	4279	27577	52656836	3174117632
8	4348.822	10136.877	3106	30957	44083476	2657321472
9	4348.822	12171.903	3439	38189	52933444	3190791424
10	4348.822	11433.131	3210	30375	49720652	2997126656
