 	Area1	Mean1	Min1	Max1	IntDen1	RawIntDen1
1	4348.822	3637.411	1388	16753	15818452	953525376
2	4348.822	3836.913	1518	12721	16686054	1005823808
3	4348.822	3911.285	1391	12724	17009482	1025319808
4	4348.822	3987.073	1554	13625	17339070	1045187136
5	4348.822	3961.434	1438	12853	17227572	1038466112
6	4348.822	3747.047	1475	12075	16295243	982265920
7	4348.822	3636.714	1484	12579	15815421	953342656
8	4348.822	3918.468	1635	15157	17040722	1027202944
9	4348.822	3906.306	1546	12338	16987832	1024014784
10	4348.822	3684.317	1491	13714	16022439	965821504
