 	Area1	Mean1	Min1	Max1	IntDen1	RawIntDen1
1	4348.822	3005.485	1360	12017	13070322	787869952
2	4348.822	3148.664	1451	9567	13692979	825403264
3	4348.822	3194.532	1351	9625	13892452	837427392
4	4348.822	3247.262	1471	9911	14121765	851250240
5	4348.822	3234.392	1365	9492	14065798	847876544
6	4348.822	3080.998	1426	9184	13398712	807665088
7	4348.822	2993.099	1431	9311	13016457	784623040
8	4348.822	3209.651	1560	11192	13958203	841390784
9	4348.822	3200.035	1511	9305	13916382	838869888
10	4348.822	3030.932	1452	10265	13180986	794540736
