 	Area1	Mean1	Min1	Max1	IntDen1	RawIntDen1
1	4348.822	12822.048	4538	30382	55760808	3361222912
2	4348.822	12486.676	4082	27829	54302332	3273307136
3	4348.822	11460.712	4536	24633	49840600	3004356864
4	4348.822	11139.321	4471	26530	48442928	2920106240
5	4348.822	12378.084	5082	28055	53830088	3244840448
6	4348.822	11445.125	3929	23374	49772816	3000270848
7	4348.822	12143.524	5368	26187	52810032	3183352064
8	4348.822	11279.704	4265	25325	49053428	2956906752
9	4348.822	12955.523	4178	27701	56341272	3396212736
10	4348.822	12673.751	4908	26145	55115892	3322347776
