 	Area1	Mean1	Min1	Max1	IntDen1	RawIntDen1
1	4348.822	4485.316	2151	9172	19505844	1175798784
2	4348.822	4389.674	2031	8754	19089912	1150726656
3	4348.822	4145.151	2081	8153	18026528	1086626560
4	4348.822	4045.526	2115	8377	17593272	1060510272
5	4348.822	4366.979	2231	8894	18991214	1144777344
6	4348.822	4141.986	1998	7539	18012760	1085796736
7	4348.822	4326.630	2397	8464	18815744	1134200064
8	4348.822	4086.153	2101	8082	17769954	1071160576
9	4348.822	4522.190	2048	8961	19666200	1185464960
10	4348.822	4465.373	2257	8205	19419112	1170570624
