 	Area	Mean
1	13.38	784.48
2	7.31	716.41
3	60.81	779.91
4	9.42	693.38
5	9.19	690.70
6	10.16	678.40
7	18.89	708.66
8	17.88	652.89
9	14.34	735.96
10	7.81	718.44
11	10.85	720.10
12	12.92	697.11
13	13.61	739.31
14	8.46	682.11
15	22.29	709.34
16	30.34	767.38
17	34.34	778.65
18	27.03	792.58
19	21.60	741.39
20	10.02	695.59
21	25.83	789.44
22	11.86	722.40
23	13.28	705.18
24	6.67	665.10
25	18.89	756.97
26	26.62	769.19
27	20.59	777.94
28	10.34	691.93
29	1694.04	831.19
30	20.55	751.57
31	9.47	706.07
32	24.18	784.45
33	5.79	647.29
34	24.55	817.96
35	42.61	751.10
36	23.35	737.61
37	27.03	798.24
38	43.21	816.08
39	13.84	764.74
40	19.90	742.07
41	52.36	770.18
42	23.49	776.17
43	19.81	696.10
44	16.13	803.09
45	16.27	742.99
46	25.24	811.51
47	24.50	750.87
48	34.11	741.52
49	54.61	782.78
50	13.05	682.19
51	14.99	664.87
52	17.01	748.83
53	10.66	700.68
54	7.77	646.36
55	66.33	779.15
56	10.80	706.45
57	17.19	730.18
58	19.77	716.75
59	8.46	664.98
60	13.88	761.44
61	10.34	658.09
62	7.26	656.19
63	20.41	699.89
64	27.12	833.36
65	21.33	769.95
66	23.63	731.41
67	17.70	777.48
68	143.83	814.39
69	55.62	732.82
70	18.94	763.02
71	15.63	761.87
72	45.46	938.27
73	24.45	851.71
74	17.10	681.10
75	34.52	826.03
76	21.33	778.05
77	10.76	685.26
78	31.44	732.51
79	17.10	690.29
80	11.49	706.98
81	42.38	705.35
82	16.36	728.66
83	25.83	826.95
84	17.15	744.31
85	40.59	806.04
86	28.59	862.93
87	16.87	707.64
88	18.98	772.56
89	26.52	746.52
90	31.30	738.46
91	22.85	860.44
92	37.00	775.49
93	36.31	827.39
94	12.73	763.99
95	18.89	782.28
96	493.69	792.44
97	34.89	724.14
98	36.18	712.04
99	50.66	797.44
100	17.97	708.60
101	46.38	761.39
102	5.47	646.17
103	18.16	683.02
104	99.06	736.20
105	37.51	742.48
106	21.01	790.32
107	48.82	743.39
108	21.83	792.79
109	24.27	762.98
110	21.37	802.94
111	6.99	686.74
112	22.75	787.82
113	18.20	698.72
114	10.89	751.22
115	54.66	832.57
116	37.51	933.96
117	21.97	748.20
118	23.03	809.08
119	22.43	762.66
120	18.11	774.99
121	10.02	685.72
122	5.65	764.23
