 	Area	Mean
1	13.19	532.00
2	82.51	580.31
3	13.10	591.43
4	37.46	578.67
5	23.49	543.48
6	104.94	587.29
7	5.47	563.67
8	30.57	555.02
9	10.80	576.44
10	16.09	588.18
11	16.69	633.99
12	13.47	518.58
13	13.42	645.24
14	146.96	558.36
15	42.43	567.64
16	23.40	601.65
17	9.70	489.49
18	28.32	717.03
19	34.25	558.49
20	23.86	562.66
21	15.63	517.56
22	14.89	573.52
23	43.07	497.25
24	29.37	570.66
25	16.36	501.95
26	9.19	663.81
27	23.67	538.96
28	18.52	611.56
29	33.56	629.03
30	28.82	552.24
31	11.03	522.89
32	8.09	510.20
33	9.29	483.61
34	27.17	529.31
35	8.37	460.80
36	6.02	544.76
37	22.94	543.44
38	16.41	492.25
39	21.60	582.09
40	22.98	517.91
41	43.94	613.15
42	14.20	545.41
43	31.63	543.85
44	61.23	508.96
45	10.66	462.33
46	23.95	545.81
47	31.90	518.27
48	20.32	512.47
49	38.66	533.13
50	14.25	576.03
51	27.26	573.57
52	13.51	469.92
53	26.16	577.19
54	30.43	520.99
55	18.89	594.27
56	5.19	473.09
57	21.19	537.30
58	18.07	505.25
59	11.54	533.58
60	25.79	578.55
61	34.71	590.80
62	45.60	534.93
63	31.30	516.02
64	11.12	485.26
65	153.16	526.41
66	146.45	575.06
67	29.05	519.14
68	7.68	526.35
69	15.90	625.48
70	160.79	554.75
71	26.98	512.21
72	27.86	546.83
73	6.02	458.65
74	58.98	543.17
75	13.10	453.74
76	9.79	535.68
77	19.81	484.39
78	24.64	541.34
79	70.38	556.93
80	14.34	542.13
81	12.46	466.00
82	16.18	509.22
83	31.76	516.62
84	6.99	491.03
85	55.53	531.33
86	20.46	621.50
87	26.34	576.77
88	29.74	545.36
89	38.75	500.82
90	27.12	534.85
91	25.70	556.77
92	28.50	537.73
93	71.80	506.91
94	16.46	463.81
95	28.78	510.84
96	25.05	539.49
97	19.77	482.54
98	30.71	466.87
99	72.31	558.83
100	63.16	519.21
101	1423.88	525.48
102	26.06	559.57
103	30.15	488.04
104	115.01	509.42
105	129.67	525.17
106	40.77	528.47
107	34.34	560.63
108	68.45	513.13
109	39.76	478.50
110	6.21	434.75
111	30.06	488.56
112	26.06	478.17
113	44.68	442.27
114	27.86	501.79
115	31.40	484.40
116	15.81	477.16
117	11.72	535.64
118	16.32	544.11
