 	Area	Mean
1	13.01	758.43
2	7.58	675.24
3	27.90	699.84
4	23.67	749.40
5	21.65	858.11
6	9.88	706.29
7	11.81	672.59
8	16.78	710.72
9	72.31	765.29
10	30.89	764.64
11	26.39	681.72
12	21.28	789.39
13	16.00	704.08
14	17.38	744.62
15	21.70	771.44
16	12.96	760.11
17	6.99	666.64
18	9.29	674.01
19	19.77	748.80
20	14.43	710.49
21	28.68	724.37
22	19.17	720.96
23	27.53	768.15
24	81.64	780.67
25	30.20	769.52
26	13.61	740.18
27	20.32	704.48
28	20.32	717.43
29	15.54	709.66
30	100.02	765.99
31	15.49	741.36
32	13.88	735.35
33	7.58	679.78
34	19.54	730.40
35	11.31	693.76
36	8.83	663.95
37	79.66	785.14
38	12.55	720.09
39	27.35	706.84
40	75.80	816.90
41	63.30	736.53
42	22.06	698.19
43	5.52	653.45
44	10.43	664.06
45	23.63	808.41
46	62.15	760.85
47	82.10	746.70
48	21.88	740.10
49	22.57	758.74
50	18.80	750.82
51	15.49	696.80
52	11.91	749.89
53	65.50	823.54
54	67.89	774.17
55	183.82	766.16
56	16.41	728.76
57	95.80	830.32
58	9.19	726.70
59	17.88	733.50
60	12.78	709.82
61	27.90	804.41
62	21.97	761.56
63	177.43	775.71
64	29.79	822.79
65	28.64	796.17
66	16.73	708.50
67	20.96	669.96
68	126.27	753.77
69	26.25	721.44
70	15.17	747.48
71	1323.68	828.13
72	28.73	854.35
73	22.52	694.37
74	24.96	776.25
75	22.20	733.14
76	29.10	777.78
77	6.90	802.95
78	27.12	740.30
79	37.51	811.72
80	35.44	839.75
81	28.91	786.70
82	105.04	804.84
83	30.57	840.76
84	22.25	872.21
85	16.55	701.18
86	23.31	821.15
87	31.95	871.24
88	29.69	759.11
89	162.03	863.97
90	24.91	807.00
91	9.33	680.73
92	30.38	803.74
93	79.25	687.76
94	11.91	707.05
95	28.55	841.26
96	29.33	823.61
97	29.24	734.16
98	32.54	762.89
99	26.43	672.07
100	31.17	743.71
101	26.48	742.81
102	18.80	765.81
103	25.05	701.63
104	73.50	769.41
105	25.24	711.45
106	22.85	738.24
107	7.91	673.32
108	38.15	764.77
109	42.66	780.97
110	21.42	778.00
111	35.44	753.71
112	30.02	812.48
113	16.27	772.71
114	5.61	633.98
115	18.25	735.06
116	45.23	819.74
117	28.68	766.16
118	16.18	772.24
119	14.39	855.49
120	11.49	734.39
121	11.12	699.54
122	11.22	724.25
