 	Area	Mean
1	17.74	2202.66
2	13.38	2162.95
3	249.60	2224.96
4	17.97	2110.50
5	23.44	2237.64
6	7.54	1916.26
7	10.76	2237.71
8	5.19	1984.90
9	7.72	1926.84
10	23.03	2119.48
11	18.52	2121.49
12	7.68	2075.53
13	7.12	1946.54
14	12.04	2150.41
15	7.35	1970.57
16	18.02	1993.83
17	348.43	2248.92
18	494.52	2325.80
19	8.69	1924.89
20	20.32	2015.00
21	26.71	2358.58
22	8.60	1932.30
23	30.20	2280.06
24	15.63	2113.79
25	8.78	1956.47
26	5.24	1902.24
27	11.86	2094.12
28	27.99	2269.60
29	95.43	2340.80
30	7.77	2073.33
31	393.20	2255.93
32	26.29	2009.73
33	17.28	2101.02
34	26.11	2203.91
35	5.65	1995.31
36	7.45	1979.23
37	67.66	2154.21
38	24.64	2056.77
39	20.41	2088.11
40	16.78	1847.29
41	21.05	2028.39
42	17.24	2098.08
43	109.26	2176.85
44	23.81	2210.66
45	14.43	1999.28
46	7.49	2078.75
47	22.02	2091.81
48	39.67	2181.83
49	20.82	2249.41
50	13.24	2091.45
51	43.12	2268.91
52	2679.02	2316.27
53	26.11	2261.07
54	100.21	2253.34
55	12.46	1962.93
56	17.38	2031.63
57	15.86	2182.64
58	55.57	2117.90
59	45.23	2271.80
60	21.70	2253.08
61	29.92	2317.20
62	9.75	2024.36
63	55.39	2410.25
64	22.62	2083.35
65	35.72	2012.70
66	66.10	2305.49
67	17.10	2034.55
68	25.70	2313.33
69	44.91	2282.49
70	20.23	2323.85
71	15.67	2220.98
72	34.34	2085.66
73	31.35	1847.27
74	40.91	2238.53
75	11.31	2058.26
76	17.51	1966.44
77	67.48	2368.97
78	18.30	2145.76
79	16.87	1976.43
80	17.33	2050.08
81	7.81	1910.25
