 	Area	Mean
1	354.04	621.79
2	172.33	595.59
3	17.10	667.83
4	20.32	630.36
5	18.20	593.34
6	6.76	557.69
7	16.41	582.36
8	23.90	586.60
9	21.19	569.97
10	30.98	583.34
11	8.64	564.21
12	12.87	523.86
13	35.17	610.90
14	122.92	593.27
15	18.34	627.10
16	31.53	586.72
17	53.97	574.72
18	15.45	567.73
19	22.71	601.13
20	6.67	615.75
21	19.54	604.34
22	25.28	619.19
23	20.41	547.85
24	794.96	624.14
25	57.74	598.41
26	15.17	589.93
27	23.81	585.81
28	29.74	592.70
29	21.05	596.36
30	11.95	555.12
31	13.65	549.13
32	271.02	601.50
33	15.08	565.48
34	8.04	566.61
35	22.34	509.33
36	28.50	559.16
37	30.94	561.51
38	13.47	522.81
39	22.48	556.08
40	18.62	573.83
41	37.42	592.62
42	14.20	554.25
43	109.86	532.89
44	33.88	519.25
45	12.46	511.23
46	31.07	548.28
47	19.17	393.18
48	26.06	500.15
49	5.61	454.18
50	7.49	488.73
51	723.39	555.92
52	58.75	541.95
53	321.17	556.88
54	38.47	542.74
55	8.37	480.38
56	25.37	522.32
57	37.46	513.11
58	22.20	514.50
59	14.62	490.00
60	108.30	490.97
61	21.74	508.26
62	25.51	463.03
63	62.61	448.88
64	13.01	466.02
65	22.57	567.16
66	26.66	488.93
67	17.88	445.29
68	15.77	507.16
69	95.80	529.11
70	7.22	431.60
71	75.39	522.42
72	93.08	538.21
73	23.31	560.86
74	69.92	475.49
75	40.13	499.11
76	15.95	464.65
77	6.30	408.72
78	20.04	490.92
79	23.08	494.97
80	15.40	425.57
81	18.85	480.27
82	34.80	518.75
83	11.12	466.45
84	6.62	388.69
85	32.32	493.55
86	31.67	474.13
87	6.25	486.87
88	12.55	468.04
89	51.39	511.35
90	24.87	496.81
91	22.39	543.86
92	28.18	490.42
93	35.07	444.12
94	24.22	523.06
95	29.79	541.18
96	46.75	489.35
97	73.27	481.02
98	6.21	418.67
