 	Area	Mean
1	1146.012	2355.746
2	35.073	2294.207
3	37.234	2385.631
4	50.334	2417.798
5	41.003	2429.278
6	5.424	1949.119
7	18.295	2165.427
8	13.882	2207.056
9	43.807	2161.257
10	32.361	2272.440
11	21.605	2234.177
12	15.077	2444.713
13	56.264	2365.494
14	127.973	2276.316
15	103.381	2416.784
16	34.246	2226.517
17	31.580	2278.418
18	25.282	2279.422
19	14.847	2096.960
20	21.559	2455.441
21	22.984	2334.114
22	16.962	2213.593
23	20.685	2207.553
24	24.684	2291.359
25	34.705	2258.542
26	56.954	2111.286
27	21.972	2333.324
28	27.121	2307.280
29	14.434	2016.338
30	73.640	2217.124
31	32.959	2017.649
32	32.821	2348.423
33	64.446	2366.886
34	18.893	2311.591
35	32.821	2218.325
36	45.738	2347.173
37	29.465	2142.295
38	23.030	2295.727
39	42.796	2586.170
40	23.168	2331.381
41	19.122	2022.200
42	34.108	2189.420
43	34.751	2523.222
44	37.142	2045.327
45	93.544	2229.594
46	18.847	2297.654
47	29.051	2383.343
48	22.984	2148.160
49	66.377	2266.521
50	32.315	2186.711
51	105.633	2305.266
52	158.220	2273.884
53	35.671	2330.889
54	37.509	2159.436
55	16.272	2273.390
56	23.627	2013.372
57	386.310	2356.045
58	32.177	2579.776
59	21.605	2216.428
60	9.102	1899.697
61	42.612	2591.015
62	39.854	2443.569
63	13.974	2202.414
64	17.422	2190.549
65	149.394	2353.921
66	8.366	1938.643
67	45.278	2123.973
68	23.122	2122.960
69	509.870	2356.525
70	30.522	2065.985
71	20.226	2255.216
72	38.061	2314.749
73	18.617	2364.830
74	77.547	2258.324
75	29.005	2255.011
76	25.052	2241.466
77	15.721	2296.260
78	36.728	2121.061
79	63.803	2238.535
80	33.556	2472.110
81	17.973	2292.371
82	8.458	2132.984
83	28.638	2118.141
84	14.250	2231.142
85	14.939	1946.354
86	15.123	2197.836
87	24.225	1915.374
88	35.809	1997.619
89	20.961	2195.967
90	16.089	2278.697
91	23.765	2588.793
92	26.753	2203.266
93	13.882	2004.007
94	10.343	1963.529
95	48.358	2403.361
96	92.440	2108.538
97	25.374	2099.951
98	13.790	2015.157
99	16.272	2228.833
100	45.692	2156.892
101	15.491	2119.712
102	10.159	2098.100
103	20.639	2297.185
104	16.732	2173.269
105	18.065	2334.911
106	31.534	2141.236
107	5.930	2005.868
108	25.788	2174.053
109	14.801	2148.472
110	14.756	2138.751
111	14.985	2354.310
112	18.203	2313.028
113	10.894	2162.679
114	16.043	2201.880
