 	Area	Mean
1	20.593	9009.132
2	539.887	8905.790
3	5.516	7745.183
4	180.928	9070.293
5	11.630	7759.431
6	8.090	8720.966
7	16.824	9240.262
8	6.895	8028.053
9	26.661	7549.176
10	6.343	7753.543
11	36.222	8048.159
12	145.946	8639.465
13	10.802	7665.204
14	11.262	8087.180
15	16.135	8154.345
16	20.226	7958.698
17	39.762	8937.339
18	22.294	7951.167
19	36.314	8852.543
20	52.679	8606.506
21	31.626	10105.890
22	69.135	8603.836
23	91.429	8616.944
24	6.665	7966.717
25	30.706	7109.855
26	33.556	8342.974
27	48.266	8532.047
28	18.709	9246.808
29	25.604	8867.320
30	993.539	8923.524
31	8.964	7234.159
32	8.320	7579.696
33	9.285	7419.366
34	333.585	9551.318
35	58.287	8882.728
36	13.560	8230.861
37	145.211	8389.349
38	12.641	7971.960
39	22.156	9465.691
40	20.961	8194.640
41	51.483	8166.129
42	16.502	8482.131
43	71.663	8758.649
44	18.801	8167.355
45	16.135	8889.199
46	19.444	8346.383
47	14.985	8134.531
48	113.356	9110.738
49	101.496	8588.859
50	30.568	8200.726
51	23.122	8318.410
52	14.985	8335.043
53	10.205	8466.784
54	32.269	9589.157
55	68.307	8389.416
56	11.032	8234.479
57	24.363	9381.917
58	38.521	8393.678
59	22.800	9090.454
60	26.155	8430.388
61	16.962	8749.382
62	39.118	8642.384
63	55.069	8918.804
64	319.933	8451.764
65	24.868	8992.530
66	8.734	7793.232
67	25.834	8051.808
68	17.927	8133.479
69	17.835	9229.652
70	6.895	7479.853
71	28.270	8708.805
72	12.733	7229.639
73	17.605	8661.175
74	16.962	7722.491
75	28.684	7489.837
76	12.319	8207.754
77	13.055	8208.694
78	5.516	7266.542
79	32.821	8521.193
80	25.282	7087.735
81	26.615	8748.149
82	14.342	7857.272
83	18.663	8516.424
84	17.927	7829.887
85	36.176	9581.421
86	5.746	7211.176
87	12.549	7810.879
88	19.398	9358.365
89	22.478	8707.710
90	17.100	8600.449
91	6.665	7599.862
92	38.383	8638.616
93	47.852	9052.569
94	14.388	8572.498
95	26.661	8038.169
96	25.466	9827.049
97	20.869	8319.767
98	22.202	8968.104
99	56.494	8148.992
100	29.051	8542.669
101	18.019	8277.327
102	10.894	8316.308
103	9.837	7491.505
104	6.435	7577.464
105	18.111	7650.206
106	11.860	7993.283
107	10.343	8121.933
108	11.676	8659.071
109	15.583	8200.499
110	14.112	8495.228
111	11.170	8381.350
112	5.608	8743.385
