 	Area	Mean
1	21.007	5616.978
2	7.309	4586.818
3	65.412	5121.505
4	1373.137	4955.968
5	15.675	5445.953
6	5.010	4773.486
7	15.491	4468.926
8	17.008	4644.416
9	21.834	4738.004
10	32.821	4963.668
11	310.739	5111.721
12	22.202	4136.275
13	14.939	4704.862
14	79.340	5685.296
15	22.524	5308.290
16	8.780	5285.785
17	22.984	4790.076
18	17.697	4563.431
19	17.422	4609.016
20	16.272	4869.254
21	5.930	4052.023
22	25.742	4886.200
23	20.226	4944.323
24	76.444	4702.850
25	110.460	5094.045
26	24.179	4563.333
27	186.995	5064.662
28	26.109	5294.451
29	12.273	4327.528
30	55.023	5527.358
31	56.678	4898.749
32	58.930	5034.215
33	16.364	5967.697
34	36.222	5019.541
35	23.811	4754.079
36	191.914	4842.580
37	15.537	4502.278
38	23.903	4735.112
39	33.464	5220.960
40	20.915	5006.352
41	28.178	4659.816
42	14.710	4701.125
43	34.062	6066.881
44	18.893	4779.603
45	18.341	5280.078
46	15.675	4554.977
47	16.456	4264.601
48	25.144	5708.216
49	174.032	5009.246
50	11.170	4616.144
51	19.490	4990.259
52	18.433	4526.945
53	10.756	5183.192
54	19.812	5174.856
55	14.847	4850.449
56	17.238	4639.824
57	76.398	4384.461
58	42.612	4451.368
59	15.813	5485.959
60	8.918	5057.015
61	9.883	4620.321
62	62.470	4422.000
63	37.877	4898.063
64	21.743	4607.425
65	17.514	5303.966
66	14.847	4237.526
67	43.899	5121.155
68	18.203	4585.157
69	30.936	4703.747
70	177.020	4906.131
71	17.651	4431.734
72	29.327	4617.942
73	61.274	4507.791
74	19.306	4673.124
75	29.051	4588.521
76	36.636	4787.311
77	37.739	4851.373
78	97.405	4840.402
79	21.789	5011.401
80	44.037	5146.021
81	19.122	4837.062
82	23.168	4679.813
83	24.455	4507.188
84	15.859	4306.133
85	13.009	4790.583
86	13.698	5261.799
87	141.258	4759.449
88	8.964	4536.472
89	83.063	4920.220
90	5.746	4302.872
91	13.974	4811.434
92	6.343	4093.072
93	15.077	4714.043
94	22.340	4501.807
95	15.629	5338.921
96	28.316	4186.756
97	5.148	4226.000
98	5.056	3990.264
99	22.616	4450.445
