 	Area	Mean
1	659.815	3087.964
2	17.605	2855.277
3	48.496	3133.852
4	11.032	2858.733
5	24.776	3574.095
6	44.864	3507.398
7	7.309	2814.157
8	5.884	2734.766
9	67.480	2970.407
10	20.685	3046.367
11	22.386	3053.891
12	17.284	2976.896
13	49.231	3066.767
14	18.019	2848.872
15	544.162	3244.134
16	13.560	3156.573
17	27.259	3141.487
18	19.858	3161.769
19	21.926	2933.218
20	164.563	3157.150
21	12.411	2853.130
22	46.749	3198.570
23	60.723	3253.489
24	106.185	3024.450
25	32.453	2985.258
26	15.997	2724.003
27	24.179	2750.781
28	32.039	2948.968
29	29.649	3154.676
30	25.328	3222.325
31	32.959	2919.591
32	21.421	2885.365
33	29.005	3043.101
34	12.135	2961.860
35	54.150	3125.621
36	27.534	2848.910
37	40.911	3091.981
38	18.571	2841.240
39	30.292	3251.499
40	15.951	3115.115
41	25.236	3175.898
42	66.285	3069.461
43	14.985	2723.604
44	22.386	3633.099
45	29.051	2896.245
46	23.443	3377.094
47	29.051	3140.191
48	28.959	2553.441
49	75.892	3337.963
50	30.982	2871.182
51	110.689	3448.857
52	13.055	2834.113
53	48.955	2993.731
54	14.572	2986.369
55	20.318	3131.167
56	13.790	2828.947
57	78.053	3162.006
58	21.926	2599.983
59	19.720	3116.928
60	40.543	3154.842
61	35.027	2806.676
62	9.285	3037.465
63	328.896	3199.275
64	24.822	3220.885
65	19.168	3006.257
66	18.617	3436.985
67	26.109	2884.227
68	16.226	2877.725
69	46.519	3322.581
70	32.959	3310.232
71	9.837	2719.715
72	15.077	2811.268
73	25.328	3180.167
74	11.722	2879.980
75	13.193	2617.115
76	16.686	3062.193
77	34.476	3116.915
78	11.814	2932.393
79	8.872	2643.741
80	36.406	2900.461
81	137.396	3072.096
82	18.341	3241.794
83	15.537	2776.861
84	6.114	3049.541
85	34.889	3130.136
86	15.307	2968.595
87	16.686	3106.256
88	25.650	3243.233
89	52.587	3122.454
90	31.258	2887.937
91	20.364	3111.752
92	211.542	3067.555
93	11.952	3223.769
94	15.169	3148.994
95	131.651	3034.056
96	14.801	2813.519
97	21.421	3044.019
98	21.237	3016.476
99	34.200	3114.465
100	38.934	2924.707
101	16.732	2982.558
102	14.204	2724.615
103	12.779	2771.471
104	30.384	3094.130
105	39.532	3022.105
106	19.214	3498.356
107	118.458	2985.316
108	18.709	3051.717
109	7.309	2771.862
110	110.643	3137.682
111	21.651	3252.456
112	20.455	2874.553
113	14.801	2786.202
114	10.527	3253.533
115	12.549	3010.000
116	16.226	2884.870
117	11.814	2888.584
