 	Area	Mean
1	71.663	849.629
2	1532.552	817.038
3	27.121	901.793
4	32.407	816.860
5	17.422	694.425
6	23.443	895.096
7	75.249	793.147
8	19.582	884.150
9	40.451	721.077
10	205.474	818.777
11	23.765	736.615
12	37.325	761.132
13	43.209	815.247
14	31.350	930.339
15	29.005	893.846
16	29.649	807.876
17	39.302	860.930
18	21.834	797.520
19	23.581	847.635
20	12.641	751.338
21	21.099	828.580
22	46.565	931.729
23	106.093	783.442
24	25.558	752.915
25	19.168	756.731
26	27.029	897.032
27	117.171	792.256
28	48.633	810.980
29	132.524	745.481
30	26.983	852.434
31	11.584	760.242
32	992.481	822.032
33	64.860	782.511
34	53.966	792.616
35	22.432	780.867
36	22.018	787.152
37	29.189	689.085
38	292.123	777.421
39	43.761	829.569
40	94.463	778.279
41	18.663	906.603
42	33.970	821.590
43	12.411	796.944
44	9.148	721.000
45	16.272	780.605
46	33.648	683.986
47	15.169	765.712
48	66.561	824.161
49	17.376	738.815
50	28.500	791.777
51	5.654	659.504
52	30.109	770.551
53	24.593	713.426
54	16.226	731.490
55	5.608	678.836
56	60.585	771.152
57	15.123	743.082
58	50.702	873.224
59	74.605	762.952
60	57.275	843.608
61	8.964	694.944
62	29.879	830.511
63	39.716	870.436
64	7.906	1042.250
65	52.495	777.765
66	16.272	752.017
67	15.307	778.829
68	34.384	863.259
69	36.038	893.857
70	48.725	891.331
71	13.606	720.220
72	10.481	700.061
73	9.377	772.510
