 	Area	Mean
1	22.386	1011.614
2	1572.084	765.795
3	72.491	743.563
4	18.663	1013.446
5	710.242	760.978
6	10.297	791.103
7	58.011	719.380
8	25.696	794.912
9	24.455	779.836
10	49.875	713.856
11	14.801	722.497
12	129.260	732.109
13	186.536	718.420
14	32.499	723.702
15	6.343	628.159
16	5.838	682.874
17	16.043	728.332
18	37.739	940.179
19	32.683	727.414
20	6.298	623.540
21	55.575	676.555
22	29.925	709.143
23	18.111	738.223
24	31.855	730.358
25	137.994	741.484
26	25.558	698.610
27	92.073	753.712
28	56.540	775.651
29	118.458	822.831
30	8.872	714.446
31	33.418	722.556
32	34.384	804.832
33	40.313	741.213
34	31.166	682.619
35	37.463	737.670
36	196.373	758.399
37	6.711	662.932
38	34.338	756.307
39	80.994	713.503
40	122.457	759.288
41	16.089	789.757
42	14.388	651.022
43	54.747	706.205
44	19.306	715.519
45	42.060	753.975
46	38.429	726.425
47	12.825	728.427
48	23.765	712.880
49	38.475	732.256
50	5.240	567.430
51	261.462	827.188
52	5.194	575.398
53	20.869	743.885
54	38.199	725.734
55	35.119	696.517
56	17.008	690.503
57	44.450	741.535
58	8.642	690.585
59	94.187	696.280
60	42.290	691.061
61	28.040	862.551
62	26.247	741.510
63	25.742	760.530
64	8.504	788.070
65	12.227	712.282
