 	Area	Mean
1	5.378	501.043
2	19.122	445.007
3	5.056	437.964
4	7.171	437.295
5	26.615	480.401
6	10.205	504.748
7	5.746	429.232
8	114.505	467.184
9	31.534	539.544
10	60.355	488.851
11	12.779	412.590
12	27.029	456.073
13	5.930	430.783
14	18.801	496.582
15	30.890	469.433
16	117.401	481.352
17	8.642	463.367
18	5.148	410.125
19	42.612	498.311
20	69.962	471.760
21	29.327	467.226
22	12.503	444.213
23	29.511	500.134
24	43.439	473.517
25	57.183	487.596
26	18.985	481.436
27	61.826	472.860
28	17.468	468.721
29	17.008	504.478
30	16.043	454.782
31	18.433	467.935
32	15.905	463.783
33	24.684	468.155
34	19.582	463.937
35	19.352	499.637
36	44.221	497.896
37	26.661	484.367
38	16.226	465.584
39	25.650	473.391
40	82.236	487.944
41	27.397	477.122
42	35.395	519.204
43	55.758	453.583
44	38.107	488.151
45	473.556	497.398
46	23.811	437.726
47	68.813	458.328
48	159.783	493.620
49	5.700	385.266
50	17.238	485.125
51	20.455	425.780
52	6.206	388.022
53	6.757	462.850
54	86.786	437.424
55	31.304	492.805
56	105.495	487.081
57	12.043	472.664
58	23.259	526.854
59	12.273	440.232
60	20.226	430.814
61	61.688	503.611
62	18.249	483.897
63	18.709	428.818
64	19.030	461.176
65	21.467	436.987
66	23.489	491.307
67	42.106	434.912
68	653.104	498.474
69	48.587	462.165
70	18.571	511.277
71	23.168	433.841
72	14.342	508.987
73	35.992	487.031
74	33.970	540.656
75	7.860	396.415
76	12.641	492.611
77	106.414	471.862
78	140.338	498.091
79	25.190	474.650
80	25.006	425.901
81	15.767	447.163
82	29.235	433.931
83	14.572	477.700
84	29.649	458.087
85	19.766	449.805
86	22.984	486.834
87	17.192	413.273
88	52.816	488.352
89	20.226	482.614
90	23.857	453.518
91	14.939	508.695
92	39.762	463.628
93	18.847	431.961
94	31.855	634.084
95	46.105	469.252
96	22.478	511.573
97	15.491	485.000
98	10.067	440.936
99	37.693	499.087
100	18.525	480.347
101	19.674	429.811
102	19.444	508.182
103	123.744	499.467
104	56.034	476.352
105	19.996	457.607
106	22.616	570.476
107	20.226	463.773
108	95.566	484.954
109	27.351	465.983
110	72.261	516.733
111	34.889	464.912
112	31.028	499.665
113	63.251	485.596
114	8.918	435.222
115	39.072	455.941
116	21.880	444.080
117	7.263	427.203
118	9.377	436.902
119	10.940	438.836
120	11.124	495.979
