 	Area	Mean	IntDen	RawIntDen
1	10.678	1439.003	15364.959	916645.000
2	10.292	1422.928	14644.739	873678.000
3	9.990	1429.891	14284.973	852215.000
4	19.729	1449.373	28594.787	1705912.000
5	26.015	1421.479	36979.610	2206135.000
6	15.505	1421.366	22038.297	1314764.000
7	8.666	1415.733	12268.802	731934.000
8	77.056	1484.332	114376.263	6823476.000
9	9.236	1372.786	12678.989	756405.000
10	12.773	1430.118	18266.575	1089750.000
11	8.096	1431.358	11588.459	691346.000
12	10.409	1419.696	14778.049	881631.000
13	9.722	1438.341	13983.639	834238.000
14	22.461	1461.447	32826.011	1958339.000
15	18.723	1466.119	27450.651	1637655.000
16	20.617	1452.631	29949.572	1786736.000
17	5.749	1442.087	8291.173	494636.000
18	6.588	1345.555	8863.886	528803.000
19	6.705	1480.625	9927.395	592250.000
20	8.683	1473.023	12789.971	763026.000
21	9.454	1395.693	13194.694	787171.000
22	76.570	1477.184	113107.350	6747775.000
23	20.785	1429.302	29708.180	1772335.000
24	8.314	1404.694	11678.673	696728.000
25	6.085	1417.270	8623.617	514469.000
26	8.767	1388.765	12174.766	726324.000
