 	Area	Mean	IntDen	RawIntDen
1	9.119	479.414	4371.591	260801
2	5.498	464.482	2553.717	152350
3	28.663	469.820	13466.610	803393
4	22.964	485.246	11143.273	664787
5	43.012	495.721	21321.832	1272021
6	6.453	438.229	2828.080	168718
7	9.655	422.370	4077.984	243285
8	11.516	450.245	5184.841	309318
9	5.951	475.048	2826.806	168642
10	21.690	431.891	9367.824	558867
11	10.879	447.418	4867.298	290374
12	25.059	473.728	11871.354	708223
13	32.066	445.521	14286.079	852281
14	6.889	480.200	3308.215	197362
15	7.157	458.403	3280.994	195738
16	9.068	502.085	4553.075	271628
17	7.778	454.073	3531.622	210690
18	21.104	458.454	9675.007	577193
19	5.632	435.449	2452.490	146311
20	45.744	472.558	21616.662	1289610
21	11.382	424.900	4836.003	288507
22	11.214	469.505	5264.981	314099
23	6.923	499.642	3458.907	206352
24	9.756	439.101	4283.690	255557
25	9.487	475.080	4507.264	268895
26	6.805	460.916	3136.738	187132
27	8.985	451.174	4053.579	241829
28	11.767	460.557	5419.394	323311
29	12.555	455.043	5713.000	340827
30	7.292	459.025	3347.003	199676
31	5.850	451.372	2640.528	157529
32	8.415	440.663	3708.010	221213
