 	Area	Mean	IntDen	RawIntDen
1	5.900	1058.597	6246.020	372626.000
2	5.632	1121.074	6313.991	376681.000
3	10.141	1115.256	11309.939	674730.000
4	7.610	1116.597	8497.331	506935.000
5	18.304	1190.298	21787.552	1299805.000
6	16.393	1133.433	18580.815	1108497.000
7	9.320	1091.579	10173.263	606918.000
8	19.109	1158.464	22136.943	1320649.000
9	15.773	1068.763	16857.815	1005706.000
10	5.867	1074.694	6304.973	376143.000
11	10.610	1089.082	11555.655	689389.000
12	59.774	1115.161	66657.534	3976665.000
13	48.309	1165.003	56279.622	3357538.000
14	5.062	1061.083	5371.387	320447.000
15	13.678	1122.683	15355.975	916109.000
16	7.023	1118.418	7855.038	468617.000
17	10.158	1174.216	11927.541	711575.000
18	5.900	1110.543	6552.517	390911.000
19	5.280	1056.648	5579.188	332844.000
20	7.543	1051.762	7933.418	473293.000
21	10.527	1084.626	11417.468	681145.000
22	12.823	1096.658	14062.505	838943.000
23	7.392	1148.088	8486.804	506307.000
24	6.487	1190.992	7725.919	460914.000
25	8.079	1127.116	9106.384	543270.000
26	5.414	1065.263	5767.527	344080.000
27	6.889	1141.097	7861.307	468991.000
28	6.805	1126.365	7665.407	457304.000
29	8.733	1120.587	9786.191	583826.000
30	6.353	1128.509	7169.264	427705.000
31	8.096	1162.443	9411.288	561460.000
32	7.644	1095.827	8376.006	499697.000
33	6.168	1102.861	6802.977	405853.000
34	10.527	1076.669	11333.708	676148.000
35	9.420	1134.381	10686.252	637522.000
36	18.924	1115.965	21119.060	1259924.000
37	10.325	1110.662	11468.140	684168.000
38	6.923	1108.901	7676.671	457976.000
39	6.051	1118.429	6767.776	403753.000
40	6.219	1029.520	6402.344	381952.000
41	5.850	1079.980	6317.880	376913.000
42	6.839	1092.400	7470.882	445699.000
43	8.331	1117.616	9310.631	555455.000
44	5.682	1090.720	6197.879	369754.000
45	7.325	1126.057	8248.446	492087.000
46	5.045	1109.372	5597.241	333921.000
47	7.007	1066.120	7469.860	445638.000
48	5.012	1088.652	5456.204	325507.000
49	7.074	1070.339	7571.187	451683.000
