 	Area	Mean	Min	Max	IntDen	RawIntDen
1	16.611	664.638	479	963	11040.504	658656.000
2	77.827	626.448	412	1022	48754.397	2908597.000
3	8.783	636.284	486	754	5588.725	333413.000
4	8.716	676.325	485	973	5895.071	351689.000
5	13.745	622.484	485	1034	8556.032	510437.000
6	26.954	609.030	436	1003	16415.528	979320.000
7	25.579	638.759	472	978	16338.858	974746.000
8	6.872	648.685	485	906	4458.083	265961.000
9	12.086	741.245	486	1030	8958.341	534438.000
10	13.443	674.138	485	937	9062.618	540659.000
11	13.745	618.357	426	886	8499.308	507053.000
12	15.958	653.764	477	979	10432.490	622383.000
13	15.572	639.101	477	918	9952.119	593725.000
14	22.646	695.063	483	1023	15740.180	939030.000
15	177.763	694.926	365	1293	123532.046	7369693.000
16	69.529	669.216	418	1138	46530.241	2775908.000
17	17.868	681.484	474	980	12177.079	726462.000
18	12.002	766.672	485	1118	9201.375	548937.000
19	17.852	645.017	475	966	11514.655	686943.000
20	6.923	629.743	485	860	4359.572	260084.000
21	153.391	664.654	464	1416	101951.674	6082248.000
22	6.671	578.656	472	718	3860.412	230305.000
23	21.506	688.571	466	1221	14808.304	883436.000
24	11.398	717.444	485	1012	8177.626	487862.000
25	14.851	581.582	422	837	8637.244	515282.000
26	8.532	702.411	487	1005	5992.928	357527.000
27	11.935	643.490	477	988	7679.840	458165.000
28	40.447	678.472	449	1066	27442.253	1637154.000
29	7.174	625.416	477	833	4486.864	267678.000
30	8.565	684.955	485	917	5866.961	350012.000
31	7.744	580.121	485	716	4492.530	268016.000
32	6.319	605.448	485	873	3826.032	228254.000
33	8.096	595.812	460	844	4823.767	287777.000
34	5.381	586.502	468	748	3155.763	188267.000
35	10.460	606.016	460	774	6338.682	378154.000
36	7.996	610.870	475	804	4884.245	291385.000
37	12.940	677.977	485	1002	8773.286	523398.000
38	5.280	566.311	485	673	2990.170	178388.000
39	9.102	701.558	485	919	6385.482	380946.000
40	14.600	582.005	485	731	8497.180	506926.000
41	9.370	574.411	485	698	5382.266	321096.000
42	12.052	586.862	479	766	7072.865	421954.000
43	10.694	573.839	413	754	6136.781	366109.000
44	7.342	591.121	485	731	4339.910	258911.000
45	7.442	603.637	482	782	4492.513	268015.000
