 	Area	Mean	Min	Max	IntDen	RawIntDen
1	17.801	143.202	79	206	2549.191	152080.000
2	5.213	127.907	84	168	666.782	39779.000
3	5.180	121.175	86	169	627.626	37443.000
4	7.526	133.022	76	205	1001.154	59727.000
5	15.103	124.060	78	201	1873.642	111778.000
6	15.823	148.303	89	233	2346.670	139998.000
7	148.312	213.997	69	536	31738.314	1893449.000
8	10.946	145.371	83	209	1591.182	94927.000
9	15.203	133.407	80	221	2028.223	121000.000
10	383.317	167.851	72	386	64340.047	3838408.000
11	15.287	144.556	84	221	2209.841	131835.000
12	22.998	137.817	73	228	3169.475	189085.000
13	19.494	123.585	74	192	2409.210	143729.000
14	7.074	139.088	98	180	983.856	58695.000
15	30.842	137.991	79	211	4255.982	253904.000
16	14.952	147.802	85	231	2209.908	131839.000
17	14.868	149.448	94	237	2221.993	132560.000
18	26.266	143.683	82	257	3774.036	225152.000
19	10.694	144.086	95	180	1540.896	91927.000
20	63.160	146.221	74	256	9235.302	550961.000
21	5.699	135.662	96	179	773.155	46125.000
22	14.164	128.331	91	175	1817.690	108440.000
23	6.872	133.563	81	182	917.913	54761.000
24	9.605	130.297	77	186	1251.464	74660.000
25	7.476	127.475	83	179	952.996	56854.000
26	6.403	142.626	96	190	913.253	54483.000
27	9.286	135.271	81	199	1256.157	74940.000
