 	Area	Mean	IntDen	RawIntDen
1	11.482	370.180	4250.434	253573
2	8.247	347.307	2864.236	170875
3	9.387	345.345	3241.686	193393
4	5.297	336.193	1780.763	106237
5	5.967	331.124	1975.925	117880
6	6.671	370.106	2469.101	147302
7	70.133	355.923	24961.922	1489182
8	22.009	378.923	8339.615	497526
9	8.783	346.464	3043.122	181547
10	6.956	363.701	2530.015	150936
11	16.796	335.695	5638.224	336366
12	14.181	338.865	4805.379	286680
13	92.896	382.839	35564.145	2121691
14	29.250	358.124	10475.132	624927
15	8.415	334.135	2811.619	167736
16	7.677	360.943	2770.988	165312
17	6.437	343.948	2213.880	132076
18	24.724	377.195	9325.851	556363
19	8.079	365.815	2955.556	176323
20	9.772	368.280	3598.955	214707
21	10.275	368.277	3784.127	225754
22	85.940	362.098	31118.566	1856476
23	9.689	335.495	3250.453	193916
24	25.093	393.651	9877.863	589295
25	57.293	349.534	20025.865	1194706
26	19.377	364.749	7067.769	421650
27	78.413	381.723	29932.240	1785702
28	7.644	367.072	2805.736	167385
29	21.673	362.186	7849.841	468307
30	5.699	334.800	1908.071	113832
31	9.102	353.956	3221.656	192198
32	8.113	318.510	2584.039	154159
33	5.029	366.807	1844.543	110042
34	19.059	361.301	6885.883	410799
35	10.292	356.428	3668.351	218847
36	11.851	335.996	3981.837	237549
37	5.146	326.182	1678.530	100138
38	14.231	364.746	5190.724	309669
39	8.934	327.019	2921.663	174301
40	33.860	349.039	11818.302	705058
41	37.598	348.152	13089.662	780905
42	24.456	339.983	8314.623	496035.000
43	5.196	310.394	1612.890	96222
44	10.476	376.314	3942.395	235196
45	6.219	355.426	2210.310	131863
46	7.828	358.293	2804.697	167323
47	16.025	397.794	6374.502	380291
48	9.202	373.689	3438.843	205155
49	9.940	326.007	3240.496	193322.000
50	6.185	334.965	2071.838	123602
51	6.856	334.711	2294.691	136897
52	8.297	344.446	2857.967	170501
53	9.052	342.526	3100.398	184964
54	16.963	353.724	6000.337	357969
55	16.745	356.950	5977.272	356593
56	18.388	329.547	6059.742	361513
57	7.778	337.881	2627.923	156777
58	10.828	326.550	3535.996	210951
59	6.219	344.528	2142.541	127820
60	7.292	332.120	2421.664	144472
61	9.839	347.101	3415.259	203748
62	8.247	332.854	2745.040	163764
63	6.001	336.277	2017.947	120387
64	6.487	345.729	2242.728	133797
65	6.370	328.371	2091.600	124781
