 	Area	Mean	Min	Max	IntDen	RawIntDen
1	8.079	236.857	161	329	1913.653	114165
2	17.500	256.018	155	424	4480.243	267283
3	9.672	254.029	180	340	2456.915	146575
4	30.658	254.577	142	372	7804.818	465621
5	52.566	235.452	150	351	12376.801	738377
6	10.728	262.006	155	368	2810.748	167684
7	29.501	249.312	155	383	7355.056	438789
8	21.070	245.399	163	347	5170.576	308467
9	10.812	275.146	166	394	2974.766	177469
10	15.974	277.726	165	385	4436.494	264673
11	9.571	247.832	188	317	2372.048	141512
12	31.513	255.701	151	482	8057.860	480717
13	14.550	237.198	172	301	3451.130	205888
14	40.447	234.109	147	395	9469.034	564905
15	14.298	212.544	143	310	3038.981	181300
16	10.527	251.174	172	329	2644.014	157737
17	9.286	243.986	159	349	2265.709	135168
18	6.822	225.796	165	280	1540.427	91899
19	17.617	244.482	161	361	4307.056	256951
20	25.696	224.123	145	329	5759.163	343581
21	11.063	275.353	185	379	3046.239	181733
22	9.554	242.488	113	325	2316.834	138218
23	33.390	257.124	160	427	8585.449	512192
24	10.694	216.552	147	334	2315.861	138160
25	23.450	262.833	161	408	6163.517	367704
26	12.505	251.735	149	385	3147.835	187794
27	9.756	235.285	139	320	2295.344	136936
28	10.208	236.860	157	333	2417.909	144248
29	25.646	245.910	153	364	6306.649	376243
30	21.037	263.321	157	408	5539.361	330468
31	37.681	251.827	155	395	9489.165	566106
32	13.913	238.120	156	354	3312.875	197640
33	22.562	260.631	168	337	5880.320	350809.000
34	10.376	248.817	155	368	2581.676	154018
35	42.190	255.168	156	414	10765.621	642257
36	13.544	209.099	148	291	2832.002	168952
37	8.264	223.004	157	289	1842.850	109941
38	13.728	229.867	149	318	3155.663	188261
39	7.962	211.413	157	268	1683.274	100421
40	9.621	226.817	154	314	2182.317	130193
41	13.795	241.433	174	321	3330.626	198699
42	13.913	276.410	170	403	3845.577	229420
43	23.450	241.540	157	340	5664.189	337915
