 	Area	Mean	Min	Max	IntDen	RawIntDen
1	7.442	537.369	457	658	3999.320	238592.000
2	8.264	543.858	456	707	4494.306	268122.000
3	212.226	659.019	420	1369	139860.947	8343845.000
4	26.819	583.769	452	921	15656.369	934030.000
5	8.348	545.857	453	665	4556.578	271837.000
6	19.243	604.274	425	999	11628.018	693706.000
7	22.629	607.898	455	815	13756.076	820662.000
8	23.216	672.303	446	1001	15607.910	931139.000
9	10.694	622.439	456	799	6656.526	397116.000
10	10.644	634.581	456	902	6754.467	402959.000
11	10.124	661.575	448	910	6698.012	399591.000
12	7.090	552.468	456	714	3917.219	233694.000
13	9.504	598.497	456	834	5688.209	339348.000
14	9.655	631.083	451	874	6093.116	363504.000
15	238.777	626.307	430	1120	149547.671	8921737.000
16	8.213	594.339	456	808	4881.580	291226.000
17	9.102	599.037	446	905	5452.348	325277.000
18	11.683	593.864	456	813	6938.248	413923.000
19	9.353	563.134	456	674	5267.160	314229.000
20	7.526	582.800	456	728	4386.274	261677.000
21	13.292	591.284	441	854	7859.580	468888.000
22	6.286	557.731	456	715	3505.791	209149.000
23	10.057	584.485	449	802	5878.342	350691.000
24	11.382	579.714	456	768	6598.026	393626.000
25	9.269	566.506	456	741	5251.219	313278.000
26	8.532	509.839	448	604	4349.917	259508.000
27	7.627	588.701	456	841	4489.898	267859.000
28	31.815	578.022	441	820	18389.542	1097086.000
29	26.115	568.961	446	858	14858.691	886442.000
30	13.175	539.170	432	689	7103.606	423788.000
31	10.309	617.876	454	890	6369.524	379994.000
32	5.146	544.375	456	651	2801.344	167123.000
33	8.281	526.190	456	644	4357.125	259938.000
34	12.572	676.096	449	1048	8499.627	507072.000
35	101.495	572.663	440	971	58122.405	3467475.000
36	8.180	590.941	456	793	4833.858	288379.000
37	8.398	575.754	456	759	4835.098	288453.000
38	5.163	501.692	449	602	2590.107	154521.000
39	5.498	511.555	451	613	2812.524	167790.000
