 	Area	Mean	Min	Max	IntDen	RawIntDen
1	8.683	143.029	78	215	1241.892	74089.000
2	276.777	140.988	59	291	39022.164	2327990.000
3	10.946	132.029	80	209	1445.150	86215.000
4	9.303	153.151	77	237	1424.768	84999.000
5	9.605	133.801	85	190	1285.122	76668.000
6	32.636	142.748	66	230	4658.710	277930.000
7	14.868	162.490	69	274	2415.915	144129.000
8	20.634	122.189	69	173	2521.282	150415.000
9	12.840	126.991	72	196	1630.540	97275.000
10	67.719	129.248	60	227	8752.568	522162.000
11	6.219	119.733	88	159	744.592	44421.000
12	10.443	139.112	69	231	1452.727	86667.000
13	30.675	135.827	60	250	4166.455	248563.000
14	5.330	107.481	72	146	572.914	34179.000
15	117.922	144.642	55	281	17056.396	1017553.000
16	126.571	138.992	60	256	17592.434	1049532.000
17	20.282	128.340	79	174	2603.031	155292.000
18	24.288	142.239	65	206	3454.767	206105.000
19	23.869	131.424	72	203	3137.007	187148.000
20	16.712	122.089	69	175	2040.342	121723.000
21	17.399	122.710	66	196	2135.048	127373.000
