 	Area	Mean	Min	Max	IntDen	RawIntDen
1	9.437	462.194	342	625	4361.768	260215.000
2	9.085	443.965	332	617	4033.464	240629.000
3	21.372	460.124	343	636	9833.661	586658.000
4	193.637	476.436	328	757	92255.379	5503785.000
5	12.086	442.516	343	559	5348.037	319054.000
6	7.727	426.668	343	548	3297.018	196694.000
7	29.602	472.154	334	658	13976.699	833824.000
8	11.767	471.744	343	673	5551.027	331164.000
9	13.846	426.288	343	606	5902.195	352114.000
10	19.142	460.564	341	639	8816.298	525964.000
11	20.115	479.021	329	711	9635.314	574825.000
12	7.811	413.496	343	485	3229.886	192689.000
13	10.493	464.562	343	565	4874.707	290816.000
14	12.655	506.403	343	676	6408.747	382334.000
15	19.897	446.150	338	612	8876.910	529580.000
16	5.247	395.093	343	481	2072.877	123664.000
17	17.299	464.724	341	706	8039.053	479595.000
18	8.800	447.712	334	615	3939.931	235049.000
19	12.136	423.608	344	528	5140.823	306692.000
20	6.671	431.402	343	540	2878.031	171698.000
21	5.330	413.399	343	498	2203.572	131461.000
22	17.416	442.099	343	620	7699.552	459341.000
23	6.487	419.488	343	528	2721.204	162342.000
24	20.064	449.490	335	629	9018.701	538039.000
25	21.841	470.238	338	666	10270.517	612720.000
26	21.623	462.743	343	651	10005.993	596939.000
27	10.560	477.227	343	638	5039.597	300653.000
28	23.165	476.277	338	730	11033.112	658215.000
29	8.917	442.846	335	556	3949.067	235594.000
30	50.739	439.045	328	751	22276.723	1328988.000
31	8.163	433.433	344	562	3538.192	211082.000
32	20.534	451.824	343	589	9277.610	553485.000
33	8.096	413.776	330	518	3349.987	199854.000
34	17.868	431.429	320	594	7708.972	459903.000
35	27.322	450.766	333	587	12315.988	734749.000
36	5.800	400.298	344	481	2321.611	138503.000
37	8.247	397.120	342	474	3275.043	195383.000
38	7.292	426.531	332	551	3110.070	185541.000
39	14.835	447.946	341	598	6645.061	396432.000
40	7.727	437.354	343	569	3379.589	201620.000
41	10.175	430.488	336	591	4380.056	261306.000
42	5.230	391.699	334	466	2048.505	122210.000
