 	Area	Mean	IntDen	RawIntDen
1	13.963	834.691	11654.703	695298.000
2	5.180	798.375	4135.194	246698.000
3	9.085	847.696	7701.396	459451.000
4	10.057	832.680	8374.514	499608.000
5	6.688	793.970	5310.155	316794.000
6	9.923	816.865	8105.917	483584.000
7	7.292	822.795	5999.449	357916.000
8	6.588	820.621	5405.867	322504.000
9	6.152	791.872	4871.372	290617.000
10	8.415	772.181	6497.604	387635.000
11	9.756	802.923	7832.979	467301.000
12	8.314	807.704	6715.277	400621.000
13	5.766	781.491	4506.224	268833.000
14	10.711	806.746	8641.083	515511.000
15	19.528	773.186	15098.726	900762.000
16	5.900	747.099	4408.099	262979.000
17	10.225	771.290	7886.383	470487.000
18	9.772	797.113	7789.665	464717.000
19	10.795	779.276	8412.162	501854.000
20	28.596	796.499	22776.906	1358828.000
21	11.164	806.071	8998.654	536843.000
22	14.868	788.651	11725.691	699533.000
23	31.211	841.148	26253.212	1566218.000
24	13.477	833.469	11232.481	670109.000
25	5.884	826.989	4865.605	290273.000
26	5.733	769.287	4410.060	263096.000
27	5.833	768.575	4483.277	267464.000
28	7.577	802.914	6083.276	362917.000
29	11.599	786.829	9126.767	544486.000
30	10.024	819.226	8211.737	489897.000
31	13.577	812.630	11033.363	658230.000
32	14.013	784.391	10991.810	655751.000
33	11.113	826.653	9186.859	548071.000
34	15.287	799.760	12226.008	729381.000
35	5.280	772.308	4077.850	243277.000
36	9.387	780.657	7327.884	437168.000
37	6.168	769.304	4745.437	283104.000
38	5.900	803.392	4740.241	282794.000
39	7.426	785.038	5829.413	347772.000
