 	Area	Mean	Min	Max	IntDen	RawIntDen
1	13.745	247.426	181	359	3400.860	202889.000
2	33.021	246.065	149	371	8125.428	484748.000
3	17.919	257.574	154	413	4615.413	275347.000
4	11.482	208.672	143	299	2395.985	142940.000
5	19.712	263.169	168	385	5187.674	309487.000
6	15.170	232.796	154	367	3531.454	210680.000
7	18.355	240.342	161	342	4411.384	263175.000
8	24.355	252.587	149	399	6151.867	367009.000
9	32.887	249.564	158	417	8207.513	489645.000
10	15.153	252.462	163	362	3825.563	228226.000
11	11.097	253.100	176	349	2808.535	167552.000
12	13.359	234.637	180	319	3134.626	187006.000
13	60.880	267.942	151	428	16312.391	973167.000
14	14.399	258.771	160	419	3725.962	222284.000
15	21.757	235.762	148	358	5129.542	306019.000
16	9.169	239.457	168	345	2195.559	130983.000
17	15.673	226.280	167	322	3546.406	211572.000
18	5.297	241.402	163	314	1278.669	76283.000
19	703.927	234.665	78	505	165186.943	9854747.000
20	17.952	242.415	181	342	4351.912	259627.000
21	46.448	264.953	158	506	12306.534	734185.000
22	9.571	246.723	169	376	2361.438	140879.000
23	9.018	253.883	178	362	2289.528	136589.000
24	35.754	262.061	143	437	9369.651	558976.000
25	55.131	250.728	149	385	13822.823	824644.000
26	7.057	232.772	158	319	1642.642	97997.000
27	60.511	249.673	152	433	15108.096	901321.000
28	41.436	233.398	151	347	9671.085	576959.000
29	16.243	234.991	146	338	3816.847	227706.000
30	9.068	251.654	161	366	2282.086	136145.000
31	5.129	214.147	160	274	1098.408	65529.000
32	9.269	239.890	154	343	2223.653	132659.000
33	10.275	226.723	174	286	2329.623	138981.000
34	29.250	236.300	157	376	6911.780	412344.000
35	22.813	234.957	179	300	5360.156	319777.000
36	7.476	238.325	173	299	1781.701	106293.000
37	7.929	259.518	177	350	2057.590	122752.000
38	16.712	238.227	157	349	3981.216	237512.000
39	13.494	238.894	175	356	3223.533	192310.000
40	20.852	233.018	161	373	4858.917	289874.000
41	10.728	232.472	158	325	2493.909	148782.000
42	10.275	239.155	160	325	2457.368	146602.000
43	7.560	242.951	165	317	1836.648	109571.000
44	5.900	219.912	164	274	1297.543	77409.000
45	7.778	238.634	173	310	1856.008	110726.000
46	7.292	222.795	152	294	1624.522	96916.000
