 	Area	Mean	IntDen	RawIntDen
1	14.164	694.215	9832.890	586612.000
2	31.362	625.386	19613.365	1170097.000
3	7.074	648.050	4584.068	273477.000
4	660.111	648.941	428372.906	25555934.000
5	29.535	653.644	19305.326	1151720.000
6	22.411	648.374	14530.723	866876.000
7	13.762	610.602	8402.943	501304.000
8	12.136	656.885	7971.837	475585.000
9	21.975	656.975	14437.156	861294.000
10	6.554	595.568	3903.356	232867.000
11	277.347	643.492	178470.426	10647215.000
12	17.852	648.430	11575.586	690578.000
13	10.527	678.490	7142.226	426092.000
14	15.522	605.060	9391.609	560286.000
15	11.901	665.735	7923.008	472672.000
16	32.552	603.675	19650.912	1172337.000
17	8.901	652.202	5805.058	346319.000
18	6.973	624.993	4358.114	259997.000
19	13.611	647.177	8808.654	525508.000
20	29.719	619.895	18422.848	1099073.000
21	8.415	628.996	5292.756	315756.000
22	49.348	624.686	30826.904	1839076.000
23	10.577	612.062	6473.734	386211.000
24	28.462	654.369	18624.749	1111118.000
25	28.747	686.746	19741.964	1177769.000
26	6.973	617.212	4303.855	256760.000
27	9.068	619.998	5622.350	335419.000
28	14.265	648.731	9253.891	552070.000
29	17.785	654.762	11644.730	694703.000
30	5.967	623.163	3718.620	221846.000
31	6.789	612.617	4158.862	248110.000
32	5.599	633.000	3543.891	211422.000
33	32.602	644.914	21025.745	1254357.000
34	5.431	607.426	3298.896	196806.000
35	6.135	648.549	3978.819	237369.000
36	5.649	642.846	3631.340	216639.000
37	5.448	628.505	3423.908	204264.000
38	5.029	607.113	3052.961	182134.000
39	10.393	647.002	6723.994	401141.000
40	6.135	622.221	3817.299	227733.000
41	19.645	621.025	12200.194	727841.000
42	6.789	604.733	4105.340	244917.000
