 	Area	Mean	Min	Max	IntDen	RawIntDen
1	12.773	596.562	472	828	7619.747	454580.000
2	7.861	587.520	471	756	4618.766	275547.000
3	24.607	683.381	474	1023	16815.859	1003203.000
4	11.063	626.462	478	866	6930.571	413465.000
5	21.757	604.825	390	1039	13159.359	785063.000
6	7.308	581.727	479	771	4251.439	253633.000
7	11.817	611.177	477	916	7222.484	430880.000
8	11.365	553.437	449	685	6289.669	375230.000
9	642.947	646.486	330	1158	415656.151	24797276.000
10	78.363	703.767	453	1124	55149.366	3290109.000
11	9.018	622.900	479	847	5617.338	335120.000
12	10.393	657.139	479	950	6829.344	407426.000
13	16.108	684.031	479	1008	11018.679	657354.000
14	13.477	656.126	479	937	8842.464	527525.000
15	9.990	621.485	479	834	6208.792	370405.000
16	26.970	667.467	472	1062	18001.799	1073954.000
17	18.790	613.386	479	886	11525.769	687606.000
18	22.327	671.176	476	1003	14985.497	894007.000
19	17.516	611.422	463	825	10709.954	638936.000
20	7.157	642.895	471	863	4601.484	274516.000
21	8.197	627.722	479	849	5145.249	306956.000
22	7.342	586.139	476	753	4303.335	256729.000
23	13.745	711.446	474	927	9778.815	583386.000
24	17.986	653.724	460	1036	11757.757	701446.000
25	9.605	632.691	479	901	6076.823	362532.000
26	14.717	602.224	479	772	8863.048	528753.000
27	12.622	644.924	468	897	8140.179	485628.000
28	11.884	621.537	479	794	7386.585	440670.000
29	30.675	658.154	463	1011	20188.709	1204421.000
30	19.528	564.360	471	781	11020.775	657479.000
31	22.445	658.270	479	864	14774.562	881423.000
32	17.634	595.106	478	811	10493.990	626052.000
33	7.459	593.962	477	777	4430.459	264313.000
34	5.129	559.395	479	688	2869.264	171175.000
35	13.209	597.074	475	800	7886.500	470494.000
36	21.858	600.090	460	802	13116.683	782517.000
37	25.747	605.436	446	965	15587.963	929949.000
38	6.219	539.582	469	657	3355.535	200185.000
39	6.705	578.292	479	732	3877.375	231317.000
