 	Area	Mean	Min	Max	IntDen	RawIntDen
1	10.141	414.696	316	559	4205.478	250891.000
2	61.987	445.842	291	721	27636.158	1648722.000
3	820.307	459.466	228	926	376902.987	22485334.000
4	9.923	405.189	307	536	4020.775	239872.000
5	16.863	432.692	314	655	7296.371	435288.000
6	19.310	462.965	316	695	8939.869	533336.000
7	10.074	425.349	293	618	4284.997	255635.000
8	24.422	455.119	309	619	11115.129	663108.000
9	16.041	406.201	316	548	6516.025	388734.000
10	9.621	442.221	316	633	4254.825	253835.000
11	19.059	444.420	309	752	8470.025	505306.000
12	12.974	433.840	307	600	5628.603	335792.000
13	162.073	456.137	299	751	73927.706	4410390.000
14	11.901	410.565	307	559	4886.189	291501.000
15	24.171	454.082	306	735	10975.634	654786.000
16	9.655	428.316	316	594	4135.395	246710.000
17	19.377	443.050	302	697	8585.013	512166.000
18	12.136	435.638	304	642	5286.822	315402.000
19	10.309	408.927	306	543	4215.518	251490.000
20	22.713	433.854	316	608	9854.010	587872.000
21	13.024	447.802	316	597	5832.263	347942.000
22	16.175	393.602	311	533	6366.708	379826.000
23	10.694	424.878	316	550	4543.755	271072.000
24	10.594	435.701	316	601	4615.681	275363.000
25	17.416	397.419	303	580	6921.402	412918.000
26	7.912	378.000	316	495	2990.639	178416.000
27	5.967	356.017	312	421	2124.471	126742.000
28	7.090	402.121	316	521	2851.195	170097.000
29	10.812	388.067	276	478	4195.621	250303.000
30	13.443	388.443	315	490	5221.936	311531.000
31	9.337	380.761	308	494	3554.988	212084.000
32	18.757	382.344	308	524	7171.577	427843.000
33	7.040	366.681	302	431	2581.475	154006.000
