 	Area	Mean	IntDen	RawIntDen
1	10.845	1604.218	17397.942	1037929
2	10.225	1710.021	17484.837	1043113
3	10.309	1670.198	17217.631	1027172
4	42.257	1716.365	72529.155	4326955
5	5.582	1534.408	8564.765	510958
6	26.501	1589.116	42113.158	2512393
7	38.134	1671.426	63738.050	3802494
8	9.437	1635.782	15437.036	920945
9	7.174	1541.708	11060.535	659851
10	9.638	1619.035	15604.658	930945
11	7.275	1605.048	11676.377	696591
12	6.487	1550.176	10055.927	599918
13	6.940	1559.060	10819.159	645451
14	6.370	1584.716	10094.045	602192
15	11.046	1623.094	17929.135	1069619
16	295.752	1662.718	491751.642	29336992
17	15.019	1671.549	25104.836	1497708
18	20.349	1669.728	33977.756	2027050
19	7.694	1620.447	12467.450	743785
20	18.958	1623.017	30769.175	1835632
21	5.180	1570.786	8135.905	485373
22	17.617	1686.990	29719.763	1773026
23	10.879	1587.673	17271.740	1030400
24	11.113	1598.481	17764.430	1059793
25	9.253	1595.513	14762.828	880723
26	203.577	1668.592	339686.176	20265048
27	7.442	1581.836	11772.659	702335
28	15.388	1588.958	24450.357	1458663
29	24.154	1697.627	41004.961	2446280
30	11.633	1581.595	18398.610	1097627
31	6.336	1612.140	10214.682	609389
32	6.168	1612.796	9948.499	593509
33	27.909	1672.479	46677.246	2784678
34	13.980	1582.014	22116.007	1319400
35	7.509	1605.147	12053.777	719106
36	11.817	1657.279	19584.617	1168382
37	10.007	1621.662	16227.993	968132
38	11.147	1729.105	19274.065	1149855
39	19.545	1575.770	30797.939	1837348
40	15.170	1661.720	25207.906	1503857
41	6.487	1573.225	10205.446	608838
42	7.593	1612.742	12245.972	730572
43	9.906	1559.076	15444.898	921414
44	7.023	1546.869	10864.199	648138
45	6.185	1548.984	9580.837	571575
46	13.393	1618.710	21679.336	1293349
47	14.231	1584.935	22555.343	1345610
48	10.393	1632.068	16961.338	1011882
49	10.275	1582.819	16263.797	970268
50	92.544	1636.435	151442.131	9034757
51	7.241	1572.056	11383.659	679128
52	5.682	1553.280	8826.322	526562
53	6.370	1550.824	9878.165	589313
54	7.811	1613.363	12602.252	751827
55	11.415	1599.831	18262.133	1089485
56	5.146	1562.476	8040.478	479680.000
57	6.034	1586.747	9575.038	571229
58	5.900	1576.548	9302.082	554945
59	7.040	1614.631	11367.182	678145
60	7.308	1599.048	11686.333	697185
