 	Area	Mean	Min	Max	IntDen	RawIntDen
1	9.923	177.659	134	226	1762.944	105174.000
2	7.543	190.924	116	270	1440.139	85916.000
3	109.356	208.190	112	357	22766.932	1358233.000
4	29.988	184.274	116	302	5525.917	329666.000
5	9.890	177.897	117	260	1759.341	104959.000
6	9.722	180.657	111	258	1756.357	104781.000
7	11.851	196.161	127	271	2324.678	138686.000
8	41.252	212.303	120	322	8757.865	522478.000
9	16.695	195.323	111	275	3260.946	194542.000
10	8.431	182.268	125	236	1536.772	91681.000
11	13.862	197.376	136	259	2736.089	163230.000
12	10.728	187.706	144	222	2013.673	120132.000
13	21.472	191.847	127	266	4119.404	245756.000
14	12.370	202.049	127	296	2499.441	149112.000
15	52.248	213.395	110	331	11149.408	665153.000
16	20.584	183.382	111	280	3774.723	225193.000
17	24.339	195.937	95	300	4768.854	284501.000
18	20.567	187.486	129	263	3856.053	230045.000
19	13.426	230.976	142	337	3101.203	185012.000
20	20.416	203.188	127	324	4148.352	247483.000
21	12.521	195.996	136	247	2454.133	146409.000
22	18.472	196.407	110	297	3628.004	216440.000
23	6.453	181.223	127	235	1169.513	69771.000
24	11.013	199.457	131	298	2196.565	131043.000
25	21.355	190.588	117	253	4070.006	242809.000
26	16.578	184.241	119	267	3054.302	182214.000
27	10.594	175.682	113	268	1861.120	111031.000
28	8.582	174.113	117	245	1494.280	89146.000
29	5.515	183.474	118	248	1011.815	60363.000
30	8.297	192.820	115	279	1599.882	95446.000
31	10.108	196.058	126	255	1981.674	118223.000
32	6.688	176.531	116	231	1180.660	70436.000
