 	Area	Mean	Min	Max	IntDen	RawIntDen
1	33.273	540.238	382	924	17975.282	1072372.000
2	167.655	585.767	334	1235	98206.905	5858842.000
3	9.789	562.154	385	822	5502.987	328298.000
4	21.003	610.683	383	873	12826.178	765186.000
5	30.725	590.098	379	848	18130.784	1081649.000
6	17.181	511.993	386	785	8796.669	524793.000
7	31.563	564.996	385	877	17833.071	1063888.000
8	19.511	562.451	389	877	10974.075	654693.000
9	54.360	610.267	360	1043	33173.943	1979096.000
10	13.527	494.357	346	651	6687.201	398946.000
11	29.904	529.655	361	811	15838.658	944905.000
12	52.818	558.912	375	949	29520.410	1761133.000
13	48.577	577.835	382	915	28069.376	1674567.000
14	12.857	494.741	386	761	6360.674	379466.000
15	12.052	568.204	384	879	6848.000	408539.000
16	21.724	535.310	383	818	11628.956	693762.000
17	8.985	528.340	389	739	4746.879	283190.000
18	15.036	574.485	389	907	8637.764	515313.000
19	38.871	509.706	383	770	19813.036	1182009.000
20	19.092	566.478	389	820	10815.270	645219.000
21	20.299	510.282	379	732	10358.216	617952.000
22	15.086	567.557	389	783	8562.133	510801.000
23	106.876	530.040	368	825	56648.340	3379535.000
24	13.276	505.520	389	726	6711.103	400372.000
25	9.806	501.415	369	671	4916.814	293328.000
26	21.171	515.217	373	729	10907.462	650719.000
27	9.437	548.247	377	769	5173.862	308663.000
28	10.745	539.903	389	758	5801.018	346078.000
29	11.314	498.015	389	621	5634.771	336160.000
30	5.314	468.650	389	591	2490.221	148562.000
31	7.191	444.928	389	507	3199.462	190874.000
