 	Area	Mean	Min	Max	IntDen	RawIntDen
1	6.571	182.724	120	261	1200.641	71628.000
2	27.406	181.813	104	284	4982.806	297265.000
3	9.202	181.648	110	280	1671.607	99725.000
4	32.787	190.064	101	327	6231.605	371766.000
5	20.550	173.698	120	287	3569.571	212954.000
6	12.086	194.988	112	287	2356.526	140586.000
7	11.633	175.939	115	243	2046.694	122102.000
8	48.174	205.341	105	339	9892.195	590150.000
9	15.019	205.708	105	325	3089.503	184314.000
10	22.361	184.599	100	296	4127.768	246255.000
11	24.858	251.326	110	414	6247.546	372717.000
12	161.168	196.644	89	348	31692.838	1890736.000
13	29.669	173.751	101	284	5155.038	307540.000
14	12.102	204.629	110	313	2476.476	147742.000
15	6.353	178.306	110	264	1132.754	67578.000
16	17.382	173.007	98	261	3007.267	179408.000
17	11.046	176.669	96	271	1951.536	116425.000
18	17.651	181.443	112	283	3202.580	191060.000
19	10.644	191.191	111	281	2035.028	121406.000
20	23.014	196.177	99	323	4514.907	269351.000
21	10.845	179.159	117	273	1943.004	115916.000
22	121.811	193.273	94	339	23542.719	1404515.000
23	11.884	190.504	113	282	2264.016	135067.000
24	30.893	182.635	103	331	5642.079	336596.000
25	11.784	199.849	115	299	2354.984	140494.000
26	15.488	185.984	100	313	2880.562	171849.000
27	25.596	203.566	107	295	5210.437	310845.000
28	11.030	181.825	128	261	2005.443	119641.000
29	26.501	174.745	98	274	4630.918	276272.000
30	23.283	204.871	104	333	4769.944	284566.000
31	37.430	198.987	111	289	7448.052	444337.000
32	23.551	192.218	106	291	4526.892	270066.000
33	19.746	193.946	120	302	3829.619	228468.000
34	38.922	181.519	98	320	7065.037	421487.000
35	43.112	183.534	113	290	7912.566	472049.000
36	12.320	215.563	127	330	2655.781	158439.000
37	162.878	182.284	98	335	29690.094	1771256.000
38	12.605	198.608	131	265	2503.480	149353.000
39	7.409	178.489	107	258	1322.401	78892.000
40	6.286	175.725	117	245	1104.577	65897.000
41	12.069	177.874	104	293	2146.714	128069.000
42	8.649	180.419	114	243	1560.491	93096.000
43	7.962	169.869	102	253	1352.506	80688.000
44	30.541	169.174	111	271	5166.687	308235.000
