 	Area	Mean	Min	Max	IntDen	RawIntDen
1	17.801	639.517	485	1059	11384.313	679167
2	5.213	638.206	501	809	3326.989	198482
3	5.180	631.540	501	836	3271.070	195146
4	7.526	669.532	501	994	5039.043	300620
5	15.103	667.277	501	1017	10077.701	601217
6	15.823	775.442	501	1180	12270.193	732017
7	148.312	1027.636	488	2500	152410.398	9092522
8	10.946	688.920	501	1055	7540.714	449865
9	15.203	679.773	496	1128	10334.783	616554
10	383.317	781.192	409	1680	299444.564	17864308
11	15.287	622.479	497	982	9515.901	567701
12	22.998	702.526	470	1070	16156.486	963866
13	19.494	631.199	501	884	12304.841	734084
14	7.074	639.218	490	849	4521.595	269750
15	30.842	657.499	449	1036	20278.840	1209798
16	14.952	751.096	494	1089	11230.285	669978
17	14.868	784.932	501	1199	11670.409	696235
18	26.266	716.908	485	1249	18830.538	1123395
19	10.694	728.525	501	928	7791.040	464799
20	63.160	709.853	487	1143	44834.211	2674726
21	5.699	621.771	501	803	3543.556	211402
22	14.164	645.477	501	845	9142.557	545428
23	6.872	630.241	502	857	4331.328	258399
24	9.605	667.105	501	904	6407.356	382251
25	7.476	629.224	501	830	4704.035	280634
26	6.403	597.801	501	739	3827.809	228360
27	9.286	661.809	501	901	6145.715	366642
