 	Area	Mean	IntDen	RawIntDen
1	7.409	556.357	4121.985	245910.000
2	16.108	610.581	9835.505	586768.000
3	7.577	618.606	4686.870	279610.000
4	5.967	553.222	3301.259	196947.000
5	6.638	583.316	3871.944	230993.000
6	7.945	575.690	4574.011	272877.000
7	7.359	557.207	4100.261	244614.000
8	65.406	604.324	39526.387	2358071.000
9	10.845	553.321	6000.840	357999.000
10	11.834	601.887	7122.782	424932.000
11	14.835	574.855	8527.704	508747.000
12	7.442	575.511	4283.187	255527.000
13	5.582	566.958	3164.647	188797.000
14	33.608	599.685	20154.313	1202369.000
15	11.968	549.431	6575.699	392294.000
16	10.460	553.490	5789.285	345378.000
17	9.487	562.850	5339.975	318573.000
18	11.901	534.396	6359.919	379421.000
19	10.979	548.003	6016.647	358942.000
20	7.711	530.626	4091.445	244088.000
21	6.889	551.582	3799.984	226700.000
22	9.605	592.339	5689.248	339410.000
23	14.868	594.517	8839.312	527337.000
24	8.297	582.255	4831.126	288216.000
25	9.906	545.773	5406.671	322552.000
26	16.410	574.804	9432.626	562733.000
27	25.914	586.236	15191.907	906321.000
28	6.671	573.575	3826.518	228283.000
29	8.649	538.442	4657.134	277836.000
30	9.253	587.024	5431.563	324037.000
31	25.864	589.386	15243.886	909422.000
32	8.565	583.466	4997.658	298151.000
33	13.410	587.368	7876.443	469894.000
34	9.571	587.081	5619.065	335223.000
35	8.364	540.271	4518.997	269595.000
36	7.744	590.781	4575.083	272941.000
37	6.085	549.678	3344.606	199533.000
