 	Area	Mean	Min	Max	IntDen	RawIntDen
1	9.923	114.520	75	169	1136.408	67796.000
2	14.801	91.172	53	148	1349.438	80505.000
3	19.830	101.743	52	156	2017.528	120362.000
4	6.168	108.639	61	154	670.135	39979.000
5	40.581	95.493	50	178	3875.213	231188.000
6	5.146	105.834	58	152	544.620	32491.000
7	7.677	95.668	54	151	734.451	43816.000
8	138.875	110.749	50	222	15380.213	917555.000
9	10.996	110.084	64	171	1210.480	72215.000
10	9.370	99.871	51	158	935.798	55828.000
11	18.539	96.035	54	151	1780.394	106215.000
12	7.174	86.787	48	130	622.631	37145.000
13	21.405	98.117	64	153	2100.233	125296.000
14	14.985	81.728	54	154	1224.728	73065.000
15	6.286	95.160	57	137	598.158	35685.000
16	10.510	99.470	56	169	1045.423	62368.000
17	57.578	108.258	49	221	6233.281	371866.000
18	12.505	110.673	56	168	1383.918	82562.000
19	11.817	98.366	55	141	1162.423	69348.000
20	200.325	114.917	52	267	23020.745	1373375.000
21	54.511	102.619	48	173	5593.804	333716.000
22	9.504	95.566	64	131	908.275	54186.000
23	11.013	107.813	66	135	1187.315	70833.000
24	8.867	93.533	54	157	829.375	49479.000
25	7.711	87.417	57	132	674.040	40212.000
26	9.839	95.521	59	135	939.872	56071.000
27	15.639	103.695	53	157	1621.690	96747.000
28	7.895	92.779	64	128	732.490	43699.000
29	8.549	93.539	60	142	799.639	47705.000
30	28.026	97.873	57	155	2743.029	163644.000
31	6.336	87.122	62	122	552.012	32932.000
32	5.129	98.431	59	123	504.877	30120.000
33	17.215	98.457	55	143	1694.907	101115.000
34	14.415	92.263	61	139	1330.011	79346.000
35	5.330	91.994	54	132	490.361	29254.000
