 	Area	Mean	Min	Max	IntDen	RawIntDen
1	22.813	540.675	385	836	12334.577	735858.000
2	15.790	524.417	393	806	8280.529	494001.000
3	14.667	535.160	397	763	7849.137	468265.000
4	74.692	520.187	300	931	38853.955	2317955.000
5	99.199	535.283	376	883	53099.302	3167806.000
6	24.473	542.553	354	828	13277.767	792127.000
7	5.515	461.967	395	538	2547.632	151987.000
8	13.527	583.203	394	892	7889.031	470645.000
9	15.421	501.040	376	727	7726.640	460957.000
10	6.588	534.746	397	750	3522.654	210155.000
11	12.354	527.152	397	722	6512.287	388511.000
12	6.118	487.729	393	618	2984.018	178021.000
13	36.659	535.316	396	791	19624.059	1170735.000
14	53.287	487.153	321	802	25958.902	1548660.000
15	8.364	554.030	397	811	4634.086	276461.000
16	9.722	487.917	397	602	4743.560	282992.000
17	6.789	526.988	398	711	3577.550	213430.000
18	12.236	480.785	394	635	5883.069	350973.000
