 	Area	Mean	IntDen	RawIntDen
1	23.651	330.206	7809.830	465920.000
2	5.045	307.548	1551.708	92572.000
3	7.023	309.177	2171.455	129545.000
4	11.382	324.062	3688.314	220038.000
5	5.079	291.069	1478.323	88194.000
6	8.817	316.504	2790.583	166481.000
7	7.526	331.078	2491.764	148654.000
8	12.622	307.186	3877.274	231311.000
9	5.699	297.015	1692.728	100985.000
10	24.523	332.681	8158.349	486712.000
11	6.470	322.803	2088.600	124602.000
12	5.733	321.860	1845.113	110076.000
13	10.443	331.191	3458.572	206332.000
14	5.917	285.875	1691.538	100914.000
15	28.496	331.591	9448.902	563704.000
16	6.168	298.935	1843.973	110008.000
17	8.800	300.830	2647.350	157936.000
18	6.034	319.969	1930.818	115189.000
19	5.096	313.938	1599.731	95437.000
20	10.443	307.684	3213.090	191687.000
21	5.816	317.914	1849.136	110316.000
22	8.230	311.743	2565.718	153066.000
23	6.470	330.342	2137.378	127512.000
24	5.532	331.191	1831.988	109293.000
25	10.191	295.118	3007.670	179432.000
26	6.923	314.562	2177.641	129914.000
27	8.348	309.600	2584.408	154181.000
28	5.951	315.518	1877.514	112009.000
29	6.956	300.325	2089.153	124635.000
30	6.319	309.841	1957.989	116810.000
31	8.247	318.736	2628.610	156818.000
32	31.563	316.268	9982.425	595533.000
33	5.213	305.383	1591.970	94974.000
34	5.766	305.625	1762.291	105135.000
35	7.023	308.668	2167.885	129332.000
36	5.129	310.542	1592.842	95026.000
