 	Area	Mean	IntDen	RawIntDen
1	7.409	1608.819	11919.545	711098
2	16.108	1787.261	28789.999	1717558
3	7.577	1843.232	13965.251	833141
4	5.967	1676.421	10003.764	596806
5	6.638	1690.134	11218.803	669293
6	7.945	1648.074	13094.389	781187
7	7.359	1665.399	12254.990	731110
8	65.406	1752.889	114649.437	6839773
9	10.845	1661.136	18015.226	1074755
10	11.834	1772.908	20980.755	1251673
11	14.835	1652.001	24506.644	1462021
12	7.442	1631.637	12143.304	724447
13	5.582	1614.096	9009.566	537494
14	33.608	1745.600	58666.371	3499927
15	11.968	1633.829	19553.976	1166554
16	10.460	1668.513	17451.967	1041152
17	9.487	1680.951	15947.830	951418
18	11.901	1627.883	19373.666	1155797
19	10.979	1633.600	17935.656	1070008
20	7.711	1598.039	12321.838	735098
21	6.889	1633.951	11256.702	671554
22	9.605	1730.248	16618.552	991432
23	14.868	1750.941	26033.075	1553085
24	8.297	1751.677	14534.142	867080
25	9.906	1659.788	16442.599	980935
26	16.410	1680.664	27579.971	1645370
27	25.914	1669.182	43255.701	2580555
28	6.671	1753.746	11699.844	697991
29	8.649	1618.384	13997.853	835086
30	9.253	1722.592	15938.661	950871
31	25.864	1722.695	44555.842	2658119
32	8.565	1684.595	14429.345	860828
33	13.410	1686.686	22618.017	1349349
34	9.571	1718.907	16452.003	981496
35	8.364	1609.309	13460.777	803045
36	7.744	1719.342	13314.795	794336
37	6.085	1584.072	9638.549	575018
