 	Area	Mean	Min	Max	IntDen	RawIntDen
1	7.660	94.591	52	138	724.595	43228.000
2	10.577	102.204	48	175	1081.009	64491.000
3	10.158	111.106	74	152	1128.597	67330.000
4	9.135	107.628	64	162	983.219	58657.000
5	10.024	111.264	68	168	1115.288	66536.000
6	25.562	96.668	50	153	2471.062	147419.000
7	10.745	105.368	69	137	1132.134	67541.000
8	8.867	101.692	53	165	901.721	53795.000
9	6.420	83.898	48	113	538.619	32133.000
10	48.895	99.399	45	172	4860.141	289947.000
11	14.332	108.440	53	187	1554.121	92716.000
12	12.153	112.461	63	164	1366.687	81534.000
13	10.627	109.607	73	171	1164.820	69491.000
14	9.102	108.983	73	140	991.952	59178.000
15	36.039	94.100	50	171	3391.238	202315.000
16	10.560	96.387	47	135	1017.866	60724.000
17	14.198	89.666	56	125	1273.037	75947.000
18	19.712	93.778	54	177	1848.582	110283.000
19	49.281	99.278	49	173	4892.475	291876.000
20	6.956	94.947	62	126	660.480	39403.000
