 	Area	Mean	Min	Max	IntDen	RawIntDen
1	32.049	182.633	84	294	5853.266	349195.000
2	11.683	153.141	110	208	1789.177	106739.000
3	11.046	159.889	97	224	1766.180	105367.000
4	13.393	140.742	97	180	1884.956	112453.000
5	19.059	147.383	80	231	2808.921	167575.000
6	41.436	156.007	92	251	6464.331	385650.000
7	9.202	148.494	111	191	1366.502	81523.000
8	125.783	151.024	76	287	18996.265	1133282.000
9	18.924	138.283	74	224	2616.927	156121.000
10	8.582	143.814	88	220	1234.249	73633.000
11	10.393	161.135	103	220	1674.608	99904.000
12	27.021	157.105	80	301	4245.070	253253.000
13	31.161	148.770	74	251	4635.813	276564.000
14	18.841	158.261	82	258	2981.739	177885.000
15	20.098	151.030	83	260	3035.378	181085.000
16	9.973	169.654	99	257	1692.040	100944.000
17	13.829	137.863	83	208	1906.479	113737.000
18	112.910	163.738	78	285	18487.651	1102939.000
19	18.673	145.407	95	215	2715.187	161983.000
20	23.232	165.581	90	269	3846.834	229495.000
21	6.386	138.063	82	185	881.724	52602.000
22	14.399	145.582	94	206	2096.193	125055.000
23	25.696	120.269	74	220	3090.475	184372.000
24	7.761	140.914	82	201	1093.614	65243.000
25	18.187	147.105	74	240	2675.393	159609.000
26	33.960	146.249	77	231	4966.631	296300.000
27	38.989	174.781	88	282	6814.509	406541.000
28	13.812	174.280	88	247	2407.165	143607.000
29	10.091	168.395	83	244	1699.248	101374.000
30	25.462	162.659	84	278	4141.580	247079.000
31	43.883	142.026	76	239	6232.560	371823.000
32	22.193	147.698	84	240	3277.876	195552.000
33	31.412	163.075	81	267	5122.553	305602.000
34	20.869	139.188	89	216	2904.700	173289.000
35	43.330	168.265	81	284	7290.974	434966.000
36	11.968	158.095	96	226	1892.114	112880.000
37	12.940	147.609	92	241	1910.116	113954.000
38	11.583	149.246	90	214	1728.666	103129.000
39	5.515	138.410	111	179	763.299	45537.000
40	11.717	139.840	80	215	1638.469	97748.000
41	11.147	144.663	109	184	1612.537	96201.000
42	30.088	147.618	82	236	4441.539	264974.000
43	11.482	135.391	77	183	1554.574	92743.000
44	15.488	153.775	104	233	2381.703	142088.000
45	7.895	148.915	101	197	1175.682	70139.000
46	24.724	146.157	82	219	3613.622	215582.000
47	10.510	137.738	85	203	1447.615	86362.000
48	9.437	153.655	94	239	1450.062	86508.000
49	13.259	132.856	79	216	1761.520	105089.000
50	7.124	134.932	78	197	961.243	57346.000
51	6.789	143.785	91	206	976.111	58233.000
52	7.074	136.991	87	194	969.021	57810.000
