 	Area	Mean	Min	Max	IntDen	RawIntDen
1	18.237	438.970	314	579	8005.596	477599
2	5.079	357.343	310	428	1814.924	108275
3	14.985	454.820	314	658	6815.649	406609
4	27.993	452.902	306	755	12678.017	756347
5	11.247	402.815	314	543	4530.630	270289
6	8.817	408.006	313	551	3597.346	214611
7	11.063	421.174	314	595	4659.464	277975
8	23.014	419.867	296	666	9663.005	576477
9	7.040	388.121	314	480	2732.418	163011
10	22.495	430.094	296	618	9674.890	577186
11	22.327	467.123	305	752	10429.556	622208
12	18.891	426.862	314	645	8063.844	481074
13	13.946	397.925	253	577	5549.519	331074
14	9.621	377.793	310	493	3634.927	216853
15	72.379	452.306	296	727	32737.473	1953057
16	580.390	446.783	280	869	259308.203	15469847
17	37.933	430.126	296	677	16315.894	973376
18	34.564	419.505	308	604	14499.595	865019
19	14.868	434.383	305	612	6458.431	385298
20	9.152	343.152	264	437	3140.577	187361
21	56.472	407.923	298	605	23036.116	1374292
22	14.063	374.585	300	511	5267.964	314277
23	8.012	420.473	314	567	3368.961	200986
24	8.063	400.318	314	516	3227.606	192553
25	14.131	420.484	290	542	5941.653	354468
26	12.086	454.452	315	612	5492.293	327660
27	21.690	406.236	302	607	8811.370	525670
28	14.600	391.324	307	530	5713.268	340843
29	10.242	399.476	306	551	4091.310	244080
30	7.375	371.925	314	461	2743.079	163647
31	6.671	365.930	314	461	2441.242	145640
32	22.076	450.548	303	674	9946.202	593372
33	15.488	427.379	306	589	6619.347	394898
34	5.615	368.466	313	469	2069.055	123436
35	7.962	392.044	314	504	3121.468	186221
36	17.835	407.560	310	569	7268.814	433644
37	10.795	410.301	314	531	4429.135	264234
38	7.224	366.350	314	443	2646.696	157897
39	11.331	412.754	314	555	4677.014	279022
